"","Provenance","X","TestSite","budbreak_mean_days","flowering_mean_days","year","CountyAndState","prov_lat_N","prov_long_W","Elevation_ft","comments","test_lat_N","test_long_W","NumberOfProvenances","budbreak_JD","flowering_JD","BudSet_1978_Mean","LeafFall_1978_Mean","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"31","PA-2",48,"RD",98.4,136.5,1979,"Potter, PA",41.66666667,78,1813,"elevation evaluated from USGS point query service",39.5,79.83333,32,"4/8/1979","5/16/1979",1978-09-15,1978-10-19,"Potter_PA",41.66666667,-78,552.6024,1.1,13.6,26.3,15.8,-8.8,0,11.7,3.1,-3.8,6.8,19,9.4,198,277,295,244,-9999,-9999,-9999,-9999,424,69,0,26,19,364,1290,507,1956,1046,86,800,0,12,183,24,2,31,92,43,113,18,0,3,0,253,439,178,0,28,144,8,61,56,57,59,19.26,12.67,-7.07,5.91,7.9,19.9,-4.2,24.1,1014,481,17.6,41.4,519,2180,3888,218,168,136,272,136,135,-31.5,36.5,-9999,871,180,58,30.77,1158,6.05127790068265
"32","PA-2",16,"CR",100.4,139.3,1979,"Potter, PA",41.66666667,78,1813,"elevation evaluated from USGS point query service",39.666667,80,33,"4/10/1979","5/19/1979",NA,NA,"Potter_PA",41.66666667,-78,552.6024,1.1,13.6,26.3,15.8,-8.8,0,11.7,3.1,-3.8,6.8,19,9.4,198,277,295,244,-9999,-9999,-9999,-9999,424,69,0,26,19,364,1290,507,1956,1046,86,800,0,12,183,24,2,31,92,43,113,18,0,3,0,253,439,178,0,28,144,8,61,56,57,59,19.26,12.67,-7.07,5.91,7.9,19.9,-4.2,24.1,1014,481,17.6,41.4,519,2180,3888,218,168,136,272,136,135,-31.5,36.5,-9999,871,180,58,30.77,1158,6.05127790068265
"33","PA-3",49,"RD",102.7,137.6,1979,"McKean, PA",41.76666667,78.81666667,2095,"elevation evaluated from USGS point query service",39.5,79.83333,32,"4/12/1979","5/17/1979",1978-08-27,1978-10-16,"McKean_PA",41.76666667,-78.81666667,638.556,0.8,12.8,25.4,15.1,-9,-0.2,11.2,2.7,-4.1,6.3,18.3,8.9,246,311,310,259,-9999,-9999,-9999,-9999,447,76,0,29,17,333,1225,468,1984,1090,113,845,0,9,143,19,2,31,92,39,150,26,0,5,0,200,423,172,0,8,113,0,61,57,58,60,24.23,17.33,-3.61,8.53,7.3,19.3,-4.6,23.8,1127,515,15.4,37.4,552,2043,4031,170,164,138,270,132,181,-31.8,35.6,-9999,796,121,59,46.48,1051,6.07378045644013
"34","PA-3",17,"CR",106.9,139,1979,"McKean, PA",41.76666667,78.81666667,2095,"elevation evaluated from USGS point query service",39.666667,80,33,"4/16/1979","5/19/1979",NA,NA,"McKean_PA",41.76666667,-78.81666667,638.556,0.8,12.8,25.4,15.1,-9,-0.2,11.2,2.7,-4.1,6.3,18.3,8.9,246,311,310,259,-9999,-9999,-9999,-9999,447,76,0,29,17,333,1225,468,1984,1090,113,845,0,9,143,19,2,31,92,39,150,26,0,5,0,200,423,172,0,8,113,0,61,57,58,60,24.23,17.33,-3.61,8.53,7.3,19.3,-4.6,23.8,1127,515,15.4,37.4,552,2043,4031,170,164,138,270,132,181,-31.8,35.6,-9999,796,121,59,46.48,1051,6.07378045644013
"35","PA-4",18,"CR",104.6,139,1979,"Centre, PA",40.85,77.83333333,1400,"",39.666667,80,33,"4/14/1979","5/19/1979",NA,NA,"Centre_PA",40.85,-77.83333333,426.72,2.9,15,27.5,17,-6.1,2.7,14.4,5.2,-1.6,8.8,21,11.1,196,276,276,224,-9999,-9999,-9999,-9999,279,38,0,15,34,482,1467,620,1761,867,39,671,0,23,310,43,4,43,92,58,58,4,0,1,0,262,441,185,0,28,166,22,65,60,62,63,18,11.06,-9.32,3.03,9.8,22,-2,24,972,450,20.4,48.9,332,2603,3337,376,197,124,282,158,63,-28.4,37.5,-9999,888,216,62,22.77,1469,5.8705807230971
"36","PA-4",50,"RD",100.5,137.4,1979,"Centre, PA",40.85,77.83333333,1400,"",39.5,79.83333,32,"4/10/1979","5/17/1979",1978-09-07,1978-10-20,"Centre_PA",40.85,-77.83333333,426.72,2.9,15,27.5,17,-6.1,2.7,14.4,5.2,-1.6,8.8,21,11.1,196,276,276,224,-9999,-9999,-9999,-9999,279,38,0,15,34,482,1467,620,1761,867,39,671,0,23,310,43,4,43,92,58,58,4,0,1,0,262,441,185,0,28,166,22,65,60,62,63,18,11.06,-9.32,3.03,9.8,22,-2,24,972,450,20.4,48.9,332,2603,3337,376,197,124,282,158,63,-28.4,37.5,-9999,888,216,62,22.77,1469,5.8705807230971
"37","SC-1",19,"CR",100.4,136.7,1979,"Pickens, SC",34.58333333,82.83333333,1000,"",39.666667,80,33,"4/10/1979","5/16/1979",NA,NA,"Pickens_SC",34.58333333,-82.83333333,304.8,13.3,22.9,32,23.7,1.6,9.3,19.7,10.6,7.4,16.1,25.8,17.1,376,329,325,258,-9999,-9999,-9999,-9999,29,3,0,2,320,1029,1912,1108,949,314,4,281,4,138,724,203,20,85,92,84,2,0,0,0,138,372,506,271,40,88,181,40,62,59,65,60,24.72,3.69,-12.37,-4.64,16.6,26.4,7.1,19.3,1288,500,20.7,52.7,34,4369,1548,1069,281,90,311,220,2,-18.8,39.9,-9999,1286,349,62,11.4,2712,4.63689623236708
"38","TN-1",51,"RD",100.5,137,1979,"Morgan & Scott, TN",36.25,84.5,1900,"",39.5,79.83333,32,"4/10/1979","5/17/1979",1978-09-25,1978-10-16,"Morgan_Scott_TN",36.25,-84.5,579.12,9,19.1,28.9,20.5,-2.2,6,16.1,6.8,3.4,12.6,22.5,13.6,416,352,357,262,-9999,-9999,-9999,-9999,84,9,0,6,127,731,1607,817,1309,555,20,492,0,52,422,92,9,62,92,62,13,0,0,0,106,323,471,242,31,41,115,43,62,59,63,58,34.84,11.93,-4.3,0.28,13,23.2,3,20.2,1386,546,16.6,42.6,100,3282,2376,566,225,113,291,178,13,-23.8,37.7,-9999,1141,230,61,42.75,1893,4.94194632251941
"39","TN-1",20,"CR",105.8,139.4,1979,"Morgan & Scott, TN",36.25,84.5,1900,"",39.666667,80,33,"4/15/1979","5/19/1979",NA,NA,"Morgan_Scott_TN",36.25,-84.5,579.12,9,19.1,28.9,20.5,-2.2,6,16.1,6.8,3.4,12.6,22.5,13.6,416,352,357,262,-9999,-9999,-9999,-9999,84,9,0,6,127,731,1607,817,1309,555,20,492,0,52,422,92,9,62,92,62,13,0,0,0,106,323,471,242,31,41,115,43,62,59,63,58,34.84,11.93,-4.3,0.28,13,23.2,3,20.2,1386,546,16.6,42.6,100,3282,2376,566,225,113,291,178,13,-23.8,37.7,-9999,1141,230,61,42.75,1893,4.94194632251941
"40","TN-2",52,"RD",107.9,140,1979,"Monroe, TN",35.33333333,84.25,3800,"",39.5,79.83333,32,"4/17/1979","5/20/1979",1978-08-23,1978-10-19,"Monroe_TN",35.33333333,-84.25,1158.24,14.4,19.8,27.6,21.5,-0.6,4.2,12.7,5.2,6.9,12,20.1,13.4,514,397,460,265,-9999,-9999,-9999,-9999,33,7,0,4,271,667,1392,780,997,586,53,485,0,23,254,57,13,56,92,60,3,0,0,0,147,347,481,262,43,40,41,48,52,53,57,51,35.67,12.36,4.01,-4.22,13.1,20.6,6.7,13.9,1636,652,14.1,31.6,45,3110,2121,334,221,114,285,171,4,-22.4,34.5,-9999,1238,172,53,47.82,1585,4.77236471778448
"41","TN-2",21,"CR",108.9,140.6,1979,"Monroe, TN",35.33333333,84.25,3800,"",39.666667,80,33,"4/18/1979","5/20/1979",NA,NA,"Monroe_TN",35.33333333,-84.25,1158.24,14.4,19.8,27.6,21.5,-0.6,4.2,12.7,5.2,6.9,12,20.1,13.4,514,397,460,265,-9999,-9999,-9999,-9999,33,7,0,4,271,667,1392,780,997,586,53,485,0,23,254,57,13,56,92,60,3,0,0,0,147,347,481,262,43,40,41,48,52,53,57,51,35.67,12.36,4.01,-4.22,13.1,20.6,6.7,13.9,1636,652,14.1,31.6,45,3110,2121,334,221,114,285,171,4,-22.4,34.5,-9999,1238,172,53,47.82,1585,4.77236471778448
"42","TX-1",53,"RD",94,134,1979,"Cherokee, TX",31.75,95,300,"",39.5,79.83333,32,"4/4/1979","5/14/1979",1978-11-02,1978-11-04,"Cherokee_TX",31.75,-95,91.44,16.3,24.9,34,26.5,4.3,12.2,21.4,12.7,10.3,18.6,27.7,19.6,326,323,215,255,-9999,-9999,-9999,-9999,14,1,0,1,519,1247,2085,1329,701,182,2,180,12,223,895,323,68,92,92,91,1,0,0,0,172,397,545,319,52,74,331,106,62,62,65,59,14.44,1.4,-27.95,-10.07,19,28.2,9.5,18.8,1118,412,26,68.6,15,5181,1065,1453,343,59,329,271,1,-15.1,41.6,-9999,1433,563,62,-22.19,3378,4.14916703036002
"43","TX-1",22,"CR",104.8,141,1979,"Cherokee, TX",31.75,95,300,"",39.666667,80,33,"4/14/1979","5/21/1979",NA,NA,"Cherokee_TX",31.75,-95,91.44,16.3,24.9,34,26.5,4.3,12.2,21.4,12.7,10.3,18.6,27.7,19.6,326,323,215,255,-9999,-9999,-9999,-9999,14,1,0,1,519,1247,2085,1329,701,182,2,180,12,223,895,323,68,92,92,91,1,0,0,0,172,397,545,319,52,74,331,106,62,62,65,59,14.44,1.4,-27.95,-10.07,19,28.2,9.5,18.8,1118,412,26,68.6,15,5181,1065,1453,343,59,329,271,1,-15.1,41.6,-9999,1433,563,62,-22.19,3378,4.14916703036002
"44","VA-1",54,"RD",104.4,142.8,1979,"Russell, VA",37,82,2000,"",39.5,79.83333,32,"4/14/1979","5/22/1979",1978-09-23,1978-10-21,"Russell_VA",37,-82,609.6,8.8,18.9,28.9,20.5,-3.5,4.4,15,5.3,2.6,11.6,21.9,12.9,262,286,324,197,-9999,-9999,-9999,-9999,103,12,0,8,104,656,1558,757,1379,629,25,541,0,39,378,75,7,55,92,58,11,0,0,0,104,327,480,243,30,73,157,70,57,55,60,54,19.94,4.91,-9,-7.03,12.3,22.8,2.3,20.5,1068,494,20.9,46.1,123,3076,2574,492,213,118,284,166,12,-25.6,37.7,-9999,1155,330,57,8.82,1748,5.08416684063755
"45","VA-1",23,"CR",107.9,142.9,1979,"Russell, VA",37,82,2000,"",39.666667,80,33,"4/17/1979","5/22/1979",NA,NA,"Russell_VA",37,-82,609.6,8.8,18.9,28.9,20.5,-3.5,4.4,15,5.3,2.6,11.6,21.9,12.9,262,286,324,197,-9999,-9999,-9999,-9999,103,12,0,8,104,656,1558,757,1379,629,25,541,0,39,378,75,7,55,92,58,11,0,0,0,104,327,480,243,30,73,157,70,57,55,60,54,19.94,4.91,-9,-7.03,12.3,22.8,2.3,20.5,1068,494,20.9,46.1,123,3076,2574,492,213,118,284,166,12,-25.6,37.7,-9999,1155,330,57,8.82,1748,5.08416684063755
"46","VA-2",55,"RD",94,140.1,1979,"Henrico, VA",37.5,77.5,200,"",39.5,79.83333,32,"4/4/1979","5/20/1979",1978-10-09,1978-10-27,"Henrico_VA",37.5,-77.5,60.96,10.1,20.5,30.4,21.6,-1.2,7.2,18.6,8.9,4.4,13.9,24.5,15.2,245,269,344,241,-9999,-9999,-9999,-9999,65,7,0,3,164,837,1791,947,1218,468,8,388,0,84,604,136,11,65,92,70,5,0,0,0,106,332,471,233,31,77,126,21,62,59,66,61,16.74,2.66,-5.24,-1.56,14.5,25.4,4.1,21.3,1098,530,22.3,48,74,3739,2083,824,238,105,298,192,5,-22.5,39.1,-9999,1142,255,62,12.6,2263,5.18080812359818
"47","VA-2",24,"CR",99.7,143.6,1979,"Henrico, VA",37.5,77.5,200,"",39.666667,80,33,"4/9/1979","5/23/1979",NA,NA,"Henrico_VA",37.5,-77.5,60.96,10.1,20.5,30.4,21.6,-1.2,7.2,18.6,8.9,4.4,13.9,24.5,15.2,245,269,344,241,-9999,-9999,-9999,-9999,65,7,0,3,164,837,1791,947,1218,468,8,388,0,84,604,136,11,65,92,70,5,0,0,0,106,332,471,233,31,77,126,21,62,59,66,61,16.74,2.66,-5.24,-1.56,14.5,25.4,4.1,21.3,1098,530,22.3,48,74,3739,2083,824,238,105,298,192,5,-22.5,39.1,-9999,1142,255,62,12.6,2263,5.18080812359818
"48","VA-3",25,"CR",110.5,140.3,1979,"Wise, VA",37,82.5,4000,"",39.666667,80,33,"4/20/1979","5/20/1979",NA,NA,"Wise_VA",37,-82.5,1219.2,7.4,16.6,25.5,18.2,-0.5,7.3,15.6,8,3.5,11.9,20.6,13.1,312,310,343,225,-9999,-9999,-9999,-9999,85,9,0,6,125,664,1430,765,1305,599,44,513,0,31,281,63,11,77,92,73,10,0,0,0,87,265,393,200,25,28,56,18,72,70,70,68,25.41,12.14,2.05,0.98,12.3,21.1,2.4,18.7,1189,517,18.7,40.8,99,2985,2461,376,253,107,298,191,11,-21.9,34.2,-9999,945,127,70,40.57,1605,5.08416684063755
"49","VA-3",56,"RD",109.8,139.5,1979,"Wise, VA",37,82.5,4000,"",39.5,79.83333,32,"4/19/1979","5/19/1979",1978-08-24,1978-10-18,"Wise_VA",37,-82.5,1219.2,7.4,16.6,25.5,18.2,-0.5,7.3,15.6,8,3.5,11.9,20.6,13.1,312,310,343,225,-9999,-9999,-9999,-9999,85,9,0,6,125,664,1430,765,1305,599,44,513,0,31,281,63,11,77,92,73,10,0,0,0,87,265,393,200,25,28,56,18,72,70,70,68,25.41,12.14,2.05,0.98,12.3,21.1,2.4,18.7,1189,517,18.7,40.8,99,2985,2461,376,253,107,298,191,11,-21.9,34.2,-9999,945,127,70,40.57,1605,5.08416684063755
"50","VT-1",57,"RD",93.4,134.8,1979,"Chittenden, VT",44.55,72.91666667,1000,"",39.5,79.83333,32,"4/3/1979","5/14/1979",1978-08-22,1978-10-10,"Chittenden_VT",44.55,-72.91666667,304.8,-2.5,10,24.4,13.2,-13.1,-1.1,12,2.2,-7.8,4.5,18.2,7.7,228,268,332,300,-9999,-9999,-9999,-9999,729,139,0,45,6,268,1214,400,2316,1256,120,949,0,9,139,13,1,31,92,36,207,69,0,13,0,168,384,143,0,9,52,0,56,62,63,64,22.75,17,3.25,16.45,5.6,19.4,-8.8,28.2,1128,537,13.9,36.2,913,1888,4640,160,159,139,269,131,289,-36.3,36.1,-9999,695,61,61,59.45,976,6.73655692834225
"51","VT-1",26,"CR",97.5,138.2,1979,"Chittenden, VT",44.55,72.91666667,1000,"",39.666667,80,33,"4/7/1979","5/18/1979",NA,NA,"Chittenden_VT",44.55,-72.91666667,304.8,-2.5,10,24.4,13.2,-13.1,-1.1,12,2.2,-7.8,4.5,18.2,7.7,228,268,332,300,-9999,-9999,-9999,-9999,729,139,0,45,6,268,1214,400,2316,1256,120,949,0,9,139,13,1,31,92,36,207,69,0,13,0,168,384,143,0,9,52,0,56,62,63,64,22.75,17,3.25,16.45,5.6,19.4,-8.8,28.2,1128,537,13.9,36.2,913,1888,4640,160,159,139,269,131,289,-36.3,36.1,-9999,695,61,61,59.45,976,6.73655692834225
"52","WI-2",58,"RD",97.6,143.9,1979,"Forest, WI",45.58333333,88.91666667,600,"",39.5,79.83333,32,"4/7/1979","5/23/1979",1978-09-14,1978-10-20,"Forest_WI",45.58333333,-88.91666667,182.88,-1.5,12.4,27,14.4,-13.5,-2.6,10.7,1.1,-7.5,4.9,18.9,7.7,100,198,287,209,-9999,-9999,-9999,-9999,707,131,0,61,6,295,1278,426,2290,1216,91,951,0,10,176,17,0,23,92,34,89,35,0,14,0,200,445,155,0,45,159,1,52,50,53,57,10,6.65,-9.51,4.63,6,20,-8.7,28.7,794,463,20.1,43.2,898,2004,4548,203,149,145,265,121,139,-36.2,38.1,-9999,800,205,53,11.77,1072,7.00261335082486
"53","WI-2",27,"CR",104.1,140,1979,"Forest, WI",45.58333333,88.91666667,600,"",39.666667,80,33,"4/14/1979","5/20/1979",NA,NA,"Forest_WI",45.58333333,-88.91666667,182.88,-1.5,12.4,27,14.4,-13.5,-2.6,10.7,1.1,-7.5,4.9,18.9,7.7,100,198,287,209,-9999,-9999,-9999,-9999,707,131,0,61,6,295,1278,426,2290,1216,91,951,0,10,176,17,0,23,92,34,89,35,0,14,0,200,445,155,0,45,159,1,52,50,53,57,10,6.65,-9.51,4.63,6,20,-8.7,28.7,794,463,20.1,43.2,898,2004,4548,203,149,145,265,121,139,-36.2,38.1,-9999,800,205,53,11.77,1072,7.00261335082486
"54","WV-1",59,"RD",107.1,140.3,1979,"Monongalia, WV",39.66666667,80,2300,"",39.5,79.83333,32,"4/17/1979","5/20/1979",1978-09-03,1978-10-21,"Monongalia_WV",39.66666667,-80,701.04,5.6,16.5,27.4,18.1,-4.9,3.5,14.4,5.3,0.4,10,20.9,11.7,250,303,347,229,-9999,-9999,-9999,-9999,179,22,0,11,55,542,1464,659,1583,760,39,623,0,24,307,49,6,51,92,59,32,1,0,1,76,284,444,202,22,21,97,19,62,59,62,60,21.66,10.68,-3.01,0.94,10.7,21.7,0.1,21.7,1129,542,18.4,40.1,213,2720,3005,380,207,121,283,162,34,-27.2,36.7,-9999,1005,159,61,30.27,1513,5.61795653872302
"55","WV-1",28,"CR",109.7,139.6,1979,"Monongalia, WV",39.66666667,80,2300,"",39.666667,80,33,"4/19/1979","5/19/1979",NA,NA,"Monongalia_WV",39.66666667,-80,701.04,5.6,16.5,27.4,18.1,-4.9,3.5,14.4,5.3,0.4,10,20.9,11.7,250,303,347,229,-9999,-9999,-9999,-9999,179,22,0,11,55,542,1464,659,1583,760,39,623,0,24,307,49,6,51,92,59,32,1,0,1,76,284,444,202,22,21,97,19,62,59,62,60,21.66,10.68,-3.01,0.94,10.7,21.7,0.1,21.7,1129,542,18.4,40.1,213,2720,3005,380,207,121,283,162,34,-27.2,36.7,-9999,1005,159,61,30.27,1513,5.61795653872302
"56","WV-2",29,"CR",105.9,147.5,1979,"Wirt & Ritchie, WV",39,81.5,500,"",39.666667,80,33,"4/15/1979","5/27/1979",NA,NA,"Wirt & Ritchie_WV",39,-81.5,152.4,7.6,19.2,30.4,20.9,-3.7,4.7,16.1,6.3,1.9,12,23.3,13.6,256,290,322,203,-9999,-9999,-9999,-9999,122,14,0,7,86,690,1678,815,1441,613,14,506,0,53,493,99,7,58,92,61,16,0,0,0,89,323,496,234,25,67,174,61,60,56,59,56,20.7,5.79,-11.13,-5.97,12.7,24.2,1.9,22.3,1071,496,21.2,48.7,142,3268,2573,645,218,116,288,172,16,-25.6,39.6,-9999,1142,327,58,9.39,1952,5.48011088039781
"57","WV-2",60,"RD",103.3,148.3,1979,"Wirt & Ritchie, WV",39,81.5,500,"",39.5,79.83333,32,"4/13/1979","5/28/1979",1978-09-30,1978-10-26,"Wirt & Ritchie_WV",39,-81.5,152.4,7.6,19.2,30.4,20.9,-3.7,4.7,16.1,6.3,1.9,12,23.3,13.6,256,290,322,203,-9999,-9999,-9999,-9999,122,14,0,7,86,690,1678,815,1441,613,14,506,0,53,493,99,7,58,92,61,16,0,0,0,89,323,496,234,25,67,174,61,60,56,59,56,20.7,5.79,-11.13,-5.97,12.7,24.2,1.9,22.3,1071,496,21.2,48.7,142,3268,2573,645,218,116,288,172,16,-25.6,39.6,-9999,1142,327,58,9.39,1952,5.48011088039781
"58","WV-3",61,"RD",103.6,137,1979,"Tucker, WV",39.08333333,79.66666667,2900,"",39.5,79.83333,32,"4/13/1979","5/17/1979",1978-08-24,1978-10-15,"Tucker_WV",39.08333333,-79.66666667,883.92,3.9,14.9,25.5,16.8,-6.7,1.8,12.5,3.6,-1.4,8.3,19,10.2,305,374,474,273,-9999,-9999,-9999,-9999,267,38,0,18,36,436,1291,551,1742,908,85,734,0,14,184,27,4,37,92,49,83,6,0,2,0,270,425,197,0,0,0,0,60,58,61,59,28.41,20.28,12.72,6.88,9,19.9,-1.8,21.6,1426,728,13.3,27.3,322,2314,3469,224,181,131,275,145,91,-29.7,35.2,-9999,892,0,59,68.29,1210,5.49717287284554
"59","WV-3",30,"CR",106.2,138.5,1979,"Tucker, WV",39.08333333,79.66666667,2900,"",39.666667,80,33,"4/16/1979","5/18/1979",NA,NA,"Tucker_WV",39.08333333,-79.66666667,883.92,3.9,14.9,25.5,16.8,-6.7,1.8,12.5,3.6,-1.4,8.3,19,10.2,305,374,474,273,-9999,-9999,-9999,-9999,267,38,0,18,36,436,1291,551,1742,908,85,734,0,14,184,27,4,37,92,49,83,6,0,2,0,270,425,197,0,0,0,0,60,58,61,59,28.41,20.28,12.72,6.88,9,19.9,-1.8,21.6,1426,728,13.3,27.3,322,2314,3469,224,181,131,275,145,91,-29.7,35.2,-9999,892,0,59,68.29,1210,5.49717287284554
"60","WV-4",62,"RD",100.4,144.6,1979,"Greenbriar, WV",37.66666667,80.25,1700,"",39.5,79.83333,32,"4/10/1979","5/24/1979",1978-09-20,1978-10-20,"Greenbriar_WV",37.66666667,-80.25,518.16,7.9,18.9,29.1,20,-4.2,3.8,14.7,5.1,1.9,11.3,21.9,12.5,204,259,284,207,-9999,-9999,-9999,-9999,125,15,0,9,86,639,1555,729,1450,656,25,569,0,39,376,68,7,52,92,58,13,0,0,0,97,328,487,234,28,91,203,56,57,53,59,55,15.13,2.17,-13.78,-4.62,11.9,22.8,1.6,21.2,954,443,23,51.4,150,3008,2701,483,208,120,283,163,13,-26.6,38.1,-9999,1146,378,56,-1.1,1719,5.21335800947865
"61","WV-4",31,"CR",104.4,145.8,1979,"Greenbriar, WV",37.66666667,80.25,1700,"",39.666667,80,33,"4/14/1979","5/25/1979",NA,NA,"Greenbriar_WV",37.66666667,-80.25,518.16,7.9,18.9,29.1,20,-4.2,3.8,14.7,5.1,1.9,11.3,21.9,12.5,204,259,284,207,-9999,-9999,-9999,-9999,125,15,0,9,86,639,1555,729,1450,656,25,569,0,39,376,68,7,52,92,58,13,0,0,0,97,328,487,234,28,91,203,56,57,53,59,55,15.13,2.17,-13.78,-4.62,11.9,22.8,1.6,21.2,954,443,23,51.4,150,3008,2701,483,208,120,283,163,13,-26.6,38.1,-9999,1146,378,56,-1.1,1719,5.21335800947865
"62","WV-5",32,"CR",104,144.8,1979,"Wayne, WV",38,82.33333333,650,"",39.666667,80,33,"4/14/1979","5/24/1979",NA,NA,"Wayne_WV",38,-82.33333333,198.12,8.5,19.9,30.5,21.3,-3.3,5.5,16.8,7,2.6,12.7,23.7,14.1,275,309,321,210,-9999,-9999,-9999,-9999,104,11,0,5,103,749,1714,859,1383,555,12,464,0,65,528,110,8,60,92,62,12,0,0,0,98,332,494,241,28,64,174,63,59,56,61,57,21.73,6.74,-10.85,-5.79,13.3,24.4,2.3,22.1,1115,500,20.9,48.8,120,3426,2414,703,222,113,291,178,13,-25.1,39.7,-9999,1165,329,58,11.83,2061,5.27897432085598
"63","WV-5",63,"RD",101.2,142.9,1979,"Wayne, WV",38,82.33333333,650,"",39.5,79.83333,32,"4/11/1979","5/22/1979",1978-09-15,1978-10-21,"Wayne_WV",38,-82.33333333,198.12,8.5,19.9,30.5,21.3,-3.3,5.5,16.8,7,2.6,12.7,23.7,14.1,275,309,321,210,-9999,-9999,-9999,-9999,104,11,0,5,103,749,1714,859,1383,555,12,464,0,65,528,110,8,60,92,62,12,0,0,0,98,332,494,241,28,64,174,63,59,56,61,57,21.73,6.74,-10.85,-5.79,13.3,24.4,2.3,22.1,1115,500,20.9,48.8,120,3426,2414,703,222,113,291,178,13,-25.1,39.7,-9999,1165,329,58,11.83,2061,5.27897432085598
