"","Provenance","Elevation_min_m","Elevation_max_m","LeafBudsOpen50Percent_Days","Leaf_Color_Days","Leaf_Death_days","Leaf_Drop_days","Percent_RetainingMoreThan25PercentLeaves","Days_betweenLeafFlushAndFallColor","State.Prov.","Elevation.m","Yr.Planted","Latitude","Longitude","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","Leaf_Color_Days_Date","Leaf_Death_Days_Date","Leaf_Drop_Days_Date","LeafBudsOpen50Percent_Days_Date","Leaf_Color_Days_JD","Leaf_Death_Days_JD","Leaf_Drop_Days_JD","LeafBudsOpen50Percent_Days_JD","LeafBudsOpen50Percent_Days_JD_adj","Leaf_Color_Days_JD_adj","Leaf_Death_Days_JD_adj","Leaf_Drop_Days_JD_adj","Days_betweenLeafFlushAndFallColor_adjV2","daylength_diff"
"1",1,282,414,6.5,29.5,47.4,51.5,0,174,"TE",303,1962,36.2,-84.2,10.4,21.5,31.2,22.4,-1.2,6.9,17.5,7.8,4.6,14.2,24.4,15.1,382,326,310,233,-9999,-9999,-9999,-9999,62,6,0,4,170,865,1779,945,1204,440,9,408,0,87,592,147,11,65,92,64,7,0,0,0,114,358,510,262,33,87,200,77,61,56,61,56,29.98,5.01,-14.11,-6.08,14.6,25.1,4.2,20.9,1251,478,19.6,52.6,72,3759,2060,826,232,109,294,186,7,-22.4,39.9,-9999,1244,397,59,14.8,2279,1975-10-22,1975-11-09,1975-11-13,1975-05-01,295.5,313.4,317.5,121.5,121.5,295.5,313.4,317.5,174,4.93257833554228
"2",2,274,274,2.5,17.4,29.4,43.2,55,166,"MN",274,1962,44.8,-93.6,-3.2,12.7,27.9,14.5,-13.7,0.8,15.2,3.1,-8.4,6.8,21.5,8.8,59,182,287,147,-9999,-9999,-9999,-9999,786,103,0,62,7,422,1521,525,2373,1055,33,865,0,25,356,34,0,35,92,52,55,19,0,9,0,193,424,153,0,48,137,24,57,60,63,63,5.89,4.86,-7.83,-1.44,7.2,22.9,-10.2,33.1,675,449,25.4,51,952,2474,4325,415,179,127,277,150,84,-36.6,40.4,-9999,770,209,61,1.47,1450,1975-10-10,1975-10-22,1975-11-05,1975-04-27,283.4,295.4,309.2,117.5,117.5,283.4,295.4,309.2,166,6.79984516816666
"3",3,49,55,5.7,17.3,31.2,39.5,11,162.6,"ME",52,1962,44.8,-68.5,-1.1,11.5,25.2,14.1,-12.6,-1,11.8,2.4,-6.9,5.2,18.5,8.2,249,241,241,298,-9999,-9999,-9999,-9999,658,104,0,36,6,282,1247,426,2229,1187,110,902,0,8,163,13,1,29,92,38,214,42,0,9,0,181,403,148,0,36,162,0,53,58,60,62,24.88,12.9,-7.57,15.37,6.3,20,-7.8,27.8,1029,418,15.8,47.9,797,1961,4428,185,160,141,270,128,266,-35.7,36.9,-9999,732,198,58,45.57,1026,1975-10-10,1975-10-24,1975-11-01,1975-04-30,283.3,297.2,305.5,120.7,120.7,283.3,297.2,305.5,162.6,6.79984516816666
"4",6,91,91,6.7,19.3,34.4,41.1,5,163.6,"ME",90,1962,43.5,-70.6,1.2,13,26.6,15.9,-10.1,0.2,12.7,3.5,-4.5,6.6,19.7,9.7,304,307,256,318,-9999,-9999,-9999,-9999,474,66,0,22,15,347,1351,524,2015,1062,71,775,0,12,230,26,1,32,92,46,195,21,0,4,0,237,428,167,0,25,173,0,55,58,59,60,30.08,17.5,-9.14,14.25,7.9,21,-5.5,26.5,1185,453,15.1,46.5,563,2236,3924,267,171,136,274,138,220,-33.1,37.8,-9999,833,198,58,52.69,1219,1975-10-12,1975-10-27,1975-11-03,1975-05-01,285.3,300.4,307.1,121.7,121.7,285.3,300.4,307.1,163.6,6.4778370587396
"5",7,229,277,7.7,28.7,43.3,50,0,172,"IN",244,1962,38.5,-86.5,7,18.9,30.7,20.7,-3.8,5.6,17,6.8,1.6,12.2,23.9,13.7,270,330,296,236,-9999,-9999,-9999,-9999,133,12,0,8,81,710,1735,834,1470,591,11,497,0,57,549,108,7,60,92,62,20,0,0,0,87,312,496,233,25,38,200,50,61,59,61,58,22.52,10.92,-14.33,-2.2,12.9,24.8,1,23.8,1131,482,20.2,51.4,152,3360,2569,714,220,113,291,178,21,-25.7,40.5,-9999,1128,313,60,16.91,2035,1975-10-21,1975-11-05,1975-11-12,1975-05-02,294.7,309.3,316,122.7,122.7,294.7,309.3,316,172,5.37872211505213
"6",8,253,265,13.7,20.3,36.8,43.4,5,157.5,"MI LP",259,1964,42.3,-85.3,1.3,14.2,28.3,16.6,-7.1,2.2,15.1,5.3,-2.9,8.2,21.7,11,148,248,260,227,-9999,-9999,-9999,-9999,360,49,0,19,24,453,1538,624,1874,922,29,686,0,22,367,48,3,40,92,59,66,6,0,2,0,248,445,175,0,26,186,10,67,61,62,64,13.87,9.72,-12,4.05,9.5,22.8,-3.6,26.4,881,442,22.1,51.6,429,2639,3511,437,194,124,283,159,73,-29.2,39.1,-9999,868,222,63,15.63,1536,1975-10-13,1975-10-29,1975-11-05,1975-05-08,286.3,302.8,309.4,128.7,122.85619047619,287.54380952381,299.516190476191,306.518095238095,164.621904761905,6.19523525819445
"7",9,299,329,6.4,18.4,33.4,42.2,29,163.1,"IA",314,1963,41.7,-91.4,0.6,14.9,28.7,17.2,-9.2,3.1,16.3,4.9,-4.3,9,22.5,11,100,236,305,202,-9999,-9999,-9999,-9999,461,45,0,25,20,520,1606,648,1999,855,21,688,0,33,422,57,1,48,92,60,61,4,0,2,0,255,443,185,0,31,138,11,60,61,64,61,9.55,7.39,-7.61,0.52,9.6,23.7,-5.8,29.5,843,489,23.2,48.5,531,2794,3563,512,201,119,284,165,67,-32.1,40.2,-9999,884,180,62,9.85,1658,1975-10-11,1975-10-26,1975-11-04,1975-05-01,284.4,299.4,308.2,121.4,122.013333333333,284.086666666667,298.973333333334,306.346666666666,162.173333333333,6.05876942159851
"8",10,372,402,6.7,22.4,41.7,47.1,2,166.7,"MO",387,1963,37.7,-91.5,7.9,19.3,31.2,21.2,-3.4,6.4,17.9,7.6,2.3,12.9,24.6,14.4,185,313,279,252,-9999,-9999,-9999,-9999,115,10,0,6,95,763,1798,887,1414,540,8,453,0,67,612,125,6,62,92,62,10,0,0,0,95,316,499,239,28,19,221,30,60,60,62,58,13.18,8.59,-17.24,-1.63,13.5,25.4,1.3,24.1,1029,495,22.9,51.3,131,3543,2416,804,222,110,294,184,10,-25.3,41.2,-9999,1150,298,60,2.9,2177,1975-10-15,1975-11-03,1975-11-09,1975-05-01,288.4,307.7,313.1,121.7,122.313333333333,288.086666666667,307.273333333333,311.246666666667,165.773333333333,5.21988849689181
"9",11,137,171,5.5,20,38.8,46.1,2,165.5,"IL",165,1962,37.5,-88.4,8.7,20.2,31.3,21.8,-2,7.5,18.4,8.3,3.3,13.9,24.9,15.1,287,330,272,243,-9999,-9999,-9999,-9999,88,7,0,4,127,842,1824,940,1317,466,7,409,0,85,637,143,8,65,92,66,11,0,0,0,98,325,494,244,28,40,223,53,63,61,63,59,22.55,9.25,-16.3,-2.98,14.3,25.7,2.1,23.5,1132,459,21.5,56,99,3733,2199,865,232,107,297,190,11,-23.5,41,-9999,1162,344,62,12.52,2299,1975-10-13,1975-10-31,1975-11-08,1975-04-30,286,304.8,312.1,120.5,120.5,286,304.8,312.1,165.5,5.18080812359818
"10",12,381,411,4.9,22.1,34.7,44.8,51,168.5,"WI",396,1963,43.6,-90.8,-2.2,12.7,27.3,14.9,-11.5,1.3,15,3.7,-6.8,7,21.2,9.3,81,213,307,197,-9999,-9999,-9999,-9999,656,89,0,46,11,416,1485,540,2228,1035,37,820,0,22,326,34,1,36,92,56,70,18,0,7,0,191,418,159,0,25,110,0,61,62,64,64,8.14,8.17,-4.71,3.12,7.6,22.3,-8.2,30.5,800,496,22.1,45,790,2452,4121,382,184,126,279,153,95,-34.4,39.2,-9999,768,135,63,14.72,1416,1975-10-15,1975-10-27,1975-11-06,1975-04-29,288.1,300.7,310.8,119.9,120.513333333333,287.786666666667,300.273333333333,308.946666666667,167.573333333333,6.50200014598962
"11",13,213,378,5.2,13,23.3,28.8,0,158.7,"MI UP",235,1962,46.5,-87.3,-1.9,8.6,23.3,12.6,-10.1,-1.4,12,3.9,-6,3.6,17.7,8.2,135,189,226,228,-9999,-9999,-9999,-9999,589,144,0,44,5,199,1166,439,2149,1330,153,902,0,2,123,16,1,27,92,55,107,48,0,9,0,148,354,122,0,19,127,0,66,65,66,71,13.42,10.83,-4.42,10.47,5.9,19,-6.8,25.8,777,389,20.4,48.8,777,1809,4534,141,175,140,278,138,164,-32.7,35.1,-9999,624,146,67,30.31,918,1975-10-06,1975-10-16,1975-10-21,1975-04-30,279,289.3,294.8,120.2,120.2,279,289.3,294.8,158.7,7.24900440481907
"12",14,265,265,14.8,17.8,37.1,43,3,154.1,"MI LP",265,1964,42.8,-84.3,0.5,13.3,27.6,16,-7.6,1.8,14.5,5,-3.5,7.6,21,10.5,141,214,241,195,-9999,-9999,-9999,-9999,402,59,0,22,20,414,1476,592,1928,980,38,719,0,17,317,41,3,37,92,58,75,8,0,2,0,235,433,167,0,37,191,16,67,62,62,65,13.51,7.67,-12.21,1.92,8.9,22.1,-4.1,26.2,792,402,23.9,54.9,484,2502,3664,375,191,126,282,156,85,-29.7,38.4,-9999,836,244,64,10.89,1432,1975-10-10,1975-10-30,1975-11-05,1975-05-09,283.8,303.1,309,129.8,123.95619047619,285.04380952381,299.81619047619,306.118095238095,161.221904761905,6.31137192486874
"13",15,354,396,14.2,18.1,38.8,42.7,0,154.9,"PA",375,1964,41.8,-79.2,1.9,13.8,27,16.6,-8.1,0.3,12.2,3.6,-3.1,7,19.6,10.1,234,296,300,262,-9999,-9999,-9999,-9999,371,63,0,21,23,375,1345,550,1889,1024,68,747,0,12,222,30,3,32,92,47,110,15,0,3,0,254,449,184,0,22,149,7,61,56,57,59,22.47,14.65,-7.55,6.64,8.4,20.6,-3.6,24.2,1091,496,16.9,41.5,455,2293,3728,265,173,134,274,140,128,-30.4,37.2,-9999,887,178,58,36.21,1247,1975-10-11,1975-10-31,1975-11-04,1975-05-09,284.1,304.8,308.7,129.2,123.35619047619,285.343809523809,301.516190476191,305.818095238095,162.021904761905,6.08130001782732
"14",17,421,421,10.3,21.9,37.7,43.1,4,162.6,"MI LP",420,1962,44.2,-85.3,-1.9,10.9,25.7,13.5,-11.2,-2,11.1,2.1,-6.5,4.4,18.4,7.8,125,193,233,241,-9999,-9999,-9999,-9999,632,141,0,47,8,265,1230,409,2199,1257,111,942,0,7,146,14,1,27,92,37,104,42,0,11,0,184,421,149,0,38,188,0,61,56,57,63,12.54,7.94,-11.53,9.5,6,19.4,-7.3,26.7,792,404,20.2,47.9,821,1912,4510,167,157,141,268,127,157,-33.7,36.7,-9999,754,226,59,18.45,992,1975-10-14,1975-10-30,1975-11-05,1975-05-05,287.9,303.7,309.1,125.3,125.3,287.9,303.7,309.1,162.6,6.64906604543094
"15",18,427,427,11,21.1,41.1,47.3,12,161.3,"PA",427,1964,41.2,-76.1,1.7,14.1,26.5,16.1,-7.5,1.8,13.6,4.3,-2.9,7.9,20.1,10.2,212,303,331,274,-9999,-9999,-9999,-9999,360,50,0,19,26,429,1387,558,1875,946,58,738,0,18,253,32,3,37,92,53,94,8,0,2,0,252,426,178,0,10,95,0,63,60,62,62,20.21,15.16,-1.64,9.2,8.8,21.3,-3.5,24.8,1120,542,16.8,39.3,430,2399,3616,303,184,129,278,149,104,-30,36.8,-9999,856,105,62,42.94,1320,1975-10-14,1975-11-03,1975-11-09,1975-05-06,287.1,307.1,313.3,126,120.15619047619,288.343809523809,303.81619047619,310.418095238096,168.421904761905,5.94736171436123
"16",19,49,140,6.7,20.9,37.1,45.8,10,165.2,"NY",100,1962,44.2,-73.3,-1,11.8,26.5,15.1,-11.7,0.1,13.4,3.7,-6.4,6,19.9,9.4,163,198,250,219,-9999,-9999,-9999,-9999,618,101,0,27,10,346,1374,509,2184,1122,63,803,0,14,245,25,1,33,92,49,133,30,0,3,0,185,416,157,0,45,166,3,56,61,62,63,16.23,8.01,-8.71,5.63,7.2,21.3,-7.4,28.7,829,408,20.8,52.2,746,2239,4171,284,174,133,275,142,166,-34.3,38,-9999,757,214,60,21.16,1239,1975-10-13,1975-10-30,1975-11-07,1975-05-01,286.9,303.1,311.8,121.7,121.7,286.9,303.1,311.8,165.2,6.64906604543094
"17",20,396,396,3,10.2,18.4,24.7,5,158.2,"MN",396,1962,47.3,-94.5,-6.2,10,25.2,11.6,-19.1,-3.4,12.1,0.1,-12.6,3.3,18.6,5.8,54,167,269,133,-9999,-9999,-9999,-9999,1144,212,0,128,2,264,1257,354,2749,1362,105,1116,0,11,168,12,0,28,92,32,53,38,0,25,0,173,390,113,0,34,121,13,47,54,61,61,5.39,6.36,-5.67,1,3.8,20.1,-14.5,34.6,623,409,22.1,49.2,1485,1876,5332,191,152,142,266,124,117,-41.7,38.5,-9999,676,168,56,7.09,996,1975-10-03,1975-10-11,1975-10-17,1975-04-28,276.2,284.4,290.7,118,118,276.2,284.4,290.7,158.2,7.47269593040597
"18",21,178,183,6.4,22.6,37.5,44.5,2,167.1,"ONT",183,1962,44.5,-80,-1.7,10.2,25.4,14.1,-10.7,-0.8,12.3,3.5,-6.2,4.7,18.8,8.8,213,182,191,216,-9999,-9999,-9999,-9999,604,129,0,35,9,271,1274,470,2166,1231,94,857,0,7,176,20,1,31,92,48,169,45,0,6,0,171,403,147,0,49,213,2,62,62,61,66,21.21,8.12,-13.05,6.9,6.5,19.9,-7.1,27,802,331,20.6,60.3,767,2024,4349,203,172,136,275,138,220,-33.2,36.8,-9999,721,264,63,23.19,1077,1975-10-15,1975-10-30,1975-11-06,1975-05-01,288.6,303.5,310.5,121.4,121.4,288.6,303.5,310.5,167.1,6.72397944154775
"19",22,411,434,4.1,17.6,29.2,35.8,10,164.2,"WI",423,1963,45.8,-92.7,-4.6,11.1,25.7,12.7,-16.7,-2.1,12.4,0.6,-10.7,4.5,19,6.7,81,193,318,167,-9999,-9999,-9999,-9999,967,166,0,100,4,306,1292,390,2571,1256,91,1045,0,13,190,15,0,30,92,33,79,38,0,23,0,184,402,125,0,29,84,4,50,55,61,60,8.11,7.67,-1.8,2.76,4.9,20.5,-12.4,32.9,759,490,19.6,41.8,1233,1992,4963,218,155,140,267,127,140,-39.7,38.4,-9999,712,117,56,16.74,1068,1975-10-10,1975-10-22,1975-10-28,1975-04-29,283.6,295.2,301.8,119.1,119.713333333333,283.286666666667,294.773333333333,299.946666666667,163.273333333333,7.05993808058946
"20",23,259,335,5.4,18.5,31,42.1,53,164.1,"MN",297,1963,44.1,-92.1,-2.3,12.9,27.8,15.1,-13,0.7,14.6,2.9,-7.6,6.8,21.2,9,75,199,304,177,-9999,-9999,-9999,-9999,719,96,0,51,9,415,1489,526,2299,1048,37,845,0,22,331,33,1,34,92,48,68,21,0,7,0,197,433,161,0,44,129,10,56,60,61,61,7.55,6.26,-6.81,0.49,7.3,22.5,-9.1,31.6,755,477,23,47.2,866,2438,4230,386,175,129,276,146,97,-35.8,40,-9999,791,183,59,7.49,1411,1975-10-11,1975-10-24,1975-11-04,1975-04-30,284.5,297,308.1,120.4,121.013333333333,284.186666666667,296.573333333334,306.246666666667,163.173333333333,6.62430232987345
"21",24,183,210,5.1,14.9,27.1,34.7,2,160.8,"ONT",190,1962,46.2,-83.2,-3.1,8.7,23.7,11.7,-13.2,-2.4,11.6,2.7,-8.1,3.1,17.6,7.2,174,182,199,257,-9999,-9999,-9999,-9999,751,183,0,60,4,213,1164,378,2341,1366,149,994,0,4,116,10,1,27,92,45,159,62,0,19,0,156,367,121,0,33,168,0,58,61,64,69,17.44,9.82,-8.29,14.42,5,19,-9.2,28.1,812,363,18.4,52.3,994,1759,4851,131,165,141,273,132,241,-35.7,35.5,-9999,644,201,63,33.39,890,1975-10-07,1975-10-20,1975-10-27,1975-04-30,280.9,293.1,300.7,120.1,120.1,280.9,293.1,300.7,160.8,7.16723993417122
"22",26,488,488,5.2,13.6,24.3,29.4,0,159.5,"WI",488,1962,45.6,-89.3,-3.6,11.1,25.2,12.5,-15.1,-2.8,11.5,0.9,-9.4,4.1,18.3,6.7,93,190,317,215,-9999,-9999,-9999,-9999,852,170,0,87,4,277,1228,377,2454,1286,114,1037,0,10,147,12,0,28,92,34,89,41,0,25,0,186,402,122,0,34,84,0,52,53,59,62,9.26,7.29,-1.62,8,5,19.6,-10.5,30.1,815,505,18.4,38.9,1110,1886,4891,169,154,142,267,125,155,-38,37,-9999,710,118,57,22.92,986,1975-10-06,1975-10-17,1975-10-22,1975-04-30,279.6,290.3,295.4,120.2,120.2,279.6,290.3,295.4,159.5,7.00700341594834
"23",27,762,1006,12.4,17.6,36.6,43.7,2,156.1,"NC",884,1964,35.6,-82.5,9.6,18.8,27.9,19.7,-2.5,5,15.1,6,3.6,11.9,21.5,12.9,245,262,290,202,-9999,-9999,-9999,-9999,81,11,0,7,131,673,1516,751,1296,607,30,536,0,38,344,66,9,59,92,61,7,0,0,0,113,325,463,237,34,89,173,52,59,58,63,58,17,2.58,-10.3,-4.84,12.5,22.1,3.3,18.8,999,441,22.5,50.2,99,3071,2469,448,221,115,288,173,7,-24.5,36.3,-9999,1138,348,59,4.45,1703,1975-10-10,1975-10-29,1975-11-05,1975-05-07,283.6,302.6,309.7,127.4,121.55619047619,284.843809523809,299.31619047619,306.818095238095,163.221904761905,4.82123185422105
"24",29,91,91,7.4,20.5,34.9,41,5,164.2,"ME",90,1962,43.5,-70.8,1.6,13.5,27.1,16.1,-10.8,-0.4,12.3,2.8,-4.6,6.5,19.7,9.5,316,310,262,316,-9999,-9999,-9999,-9999,485,69,0,23,14,346,1350,502,2028,1070,71,799,0,12,229,23,1,30,92,38,208,24,0,4,0,246,442,172,0,31,180,0,52,55,57,58,31.27,17.14,-10.37,13.62,7.8,21,-5.7,26.8,1204,459,14.8,45.8,578,2213,3968,264,161,139,270,132,236,-33.7,38.2,-9999,860,211,55,51.67,1207,1975-10-13,1975-10-27,1975-11-03,1975-05-02,286.5,300.9,307,122.4,122.4,286.5,300.9,307,164.2,6.4778370587396
"25",30,293,293,11.9,17.4,36.8,42,3,156.4,"OH",293,1964,40.7,-81.9,3.6,15.6,28.4,18,-5.5,3.2,15,5.7,-1,9.4,21.7,11.8,186,258,283,190,-9999,-9999,-9999,-9999,243,31,0,13,40,512,1538,681,1703,819,28,623,0,26,365,60,5,45,92,60,43,2,0,1,0,268,456,195,0,38,173,36,65,60,61,62,16.61,8.65,-10.31,-1.88,10.5,22.6,-1.4,24,918,452,22.3,50,287,2772,3172,451,202,122,285,164,46,-27.6,38.4,-9999,920,247,62,13.08,1601,1975-10-10,1975-10-29,1975-11-04,1975-05-06,283.4,302.8,308,126.9,121.05619047619,284.643809523809,299.516190476191,305.118095238095,163.521904761905,5.8379703509554
"26",31,269,269,7.8,22.5,38.8,44.8,2,165.9,"OH",269,1962,40.8,-84.2,3.2,15.6,29,18.2,-5.7,3.5,15.9,6.1,-1.3,9.6,22.5,12.2,175,254,268,200,-9999,-9999,-9999,-9999,258,31,0,13,38,532,1608,713,1728,804,20,603,0,31,424,71,4,49,92,61,45,2,0,1,0,267,459,196,0,39,192,31,66,61,62,62,15.66,8.14,-12.69,-1.2,10.7,23.6,-1.8,25.3,896,434,23.2,54.3,302,2891,3155,526,206,119,287,168,48,-27.8,39.3,-9999,922,262,63,9.91,1706,1975-10-15,1975-10-31,1975-11-06,1975-05-02,288.5,304.8,310.8,122.8,122.8,288.5,304.8,310.8,165.9,5.85969108613563
"27",32,317,350,5.7,15.4,30.8,41.9,47,160.6,"KA",334,1964,39.2,-96.5,6,18.9,32.4,21.2,-6.1,5.5,18.9,7,0,12.2,25.6,14.1,73,224,303,183,-9999,-9999,-9999,-9999,203,15,0,9,54,725,1897,878,1621,601,6,487,0,69,710,137,4,62,92,63,12,0,0,0,58,310,511,233,32,86,208,50,56,58,62,57,3.95,0.34,-18.04,-8.65,13,26.8,-1.6,28.4,783,503,29.4,53.2,227,3554,2715,915,221,108,293,185,13,-28.7,43.7,-9999,1112,376,58,-22.4,2262,1975-10-08,1975-10-23,1975-11-03,1975-04-30,281.4,296.8,307.9,120.7,114.85619047619,282.643809523809,293.516190476191,305.018095238095,167.721904761905,5.52113970004085
