"","seedSource","State.Province","Lat.Deg","Long.Deg","Elev.m","test","Perc_flowers","Avg_Bud_per_Tree","Perc_Wntr_Inj","Avg_Time_Flush","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"1",106,"MS",33.3,-88.8,82,"OH",12,34,96,5,"MS",33.3,-88.8,82,13.8,24,33,24.8,2,11,20.4,11,7.9,17.5,26.7,17.9,400,358,289,238,-9999,-9999,-9999,-9999,26,2,0,1,354,1154,1994,1176,906,243,3,248,5,191,804,234,25,92,92,89,2,0,0,0,147,384,528,293,44,77,239,91,62,61,65,59,26.57,5.93,-17.87,-8.39,17.5,27.3,7.2,20.1,1285,455,21.4,60,29,4677,1401,1234,297,83,313,231,2,-18.3,41.3,-9999,1352,451,62,6.24,2979,4.41149003525319
"2",110,"AL",32.7,-85.5,15,"OH",2,0,98,4,"AL",32.7,-85.5,15,15.7,25.1,33.2,25.6,2.2,10.7,20.2,11.1,9,17.9,26.7,18.3,367,363,330,248,-9999,-9999,-9999,-9999,19,2,0,1,426,1191,1992,1215,813,218,3,222,7,202,802,245,26,92,92,89,1,0,0,0,167,412,536,306,51,103,207,81,57,57,64,57,19.63,3.58,-14.3,-8.87,18,27.1,8.3,18.8,1308,518,21.4,52.4,22,4824,1256,1256,299,83,315,232,1,-18.1,40.8,-9999,1422,442,59,0.03,3072,4.30871249179082
"3",111,"GA",33.7,-83.4,131,"OH",0,NA,87,3,"GA",33.7,-83.4,131,13.9,23.9,32.4,24.2,1.3,9.7,19.7,10.7,7.6,16.8,26,17.5,330,341,298,234,-9999,-9999,-9999,-9999,28,2,0,1,333,1092,1929,1136,936,275,4,263,4,164,741,211,18,88,92,86,2,0,0,0,148,393,520,282,44,98,223,68,59,58,64,59,19.34,3.04,-15.84,-7.43,17,26.5,7.1,19.4,1202,478,22.4,55.4,32,4491,1478,1120,284,90,310,221,2,-19.3,40.4,-9999,1343,433,60,-0.9,2813,4.48091265425712
"4",112,"AR",35.7,-93.2,427,"OH",56,91,36,7,"AR",35.7,-93.2,427,10,20.6,30.9,22,-1.9,8,18.5,8.9,4,14.3,24.7,15.4,265,388,301,293,-9999,-9999,-9999,-9999,74,6,0,3,150,881,1810,969,1255,431,8,376,0,93,624,145,8,65,92,70,6,0,0,0,115,335,492,252,34,0,191,21,60,61,65,60,18.7,13.99,-13.3,1.53,14.6,25.6,2.9,22.7,1247,549,19.7,46.6,83,3810,2070,862,236,106,300,194,7,-23.6,40.6,-9999,1194,246,61,20.91,2341,4.83965427053664
"5",113,"NC",35.7,-78.5,132,"OH",38,109,93,6,"NC",35.7,-78.5,132,11.8,22.5,31,23,-0.6,8.6,19.1,9.6,5.6,15.5,25,16.3,260,264,361,255,-9999,-9999,-9999,-9999,48,4,0,2,219,981,1841,1039,1113,353,6,319,0,125,653,169,12,76,92,78,3,0,0,0,126,366,486,258,38,111,125,32,59,58,66,60,15.95,-2.07,-5.29,-3.24,15.6,25.7,5,20.7,1139,551,22.5,46.7,54,4081,1791,947,258,99,303,204,3,-21.8,39.5,-9999,1235,306,61,5.35,2513,4.83965427053664
"6",115,"AR",34.3,-93.6,168,"MI",81,145,44,4,"AR",34.3,-93.6,168,12.8,23.1,33,24.4,-0.7,8.9,19.2,9.4,6.1,16,26.1,16.9,326,439,287,301,-9999,-9999,-9999,-9999,43,3,0,2,241,1025,1937,1093,1072,324,4,296,0,141,748,199,11,74,92,74,3,0,0,0,141,379,542,291,42,6,255,37,56,57,61,56,20.99,14.28,-20.53,-2.97,16.3,26.9,5,21.8,1352,546,19.4,49.2,48,4296,1696,1089,251,100,303,203,3,-22,42.2,-9999,1353,340,58,11.77,2702,4.58645330830932
"7",115,"AR",34.3,-93.6,168,"OH",31,70,96,7,"AR",34.3,-93.6,168,12.8,23.1,33,24.4,-0.7,8.9,19.2,9.4,6.1,16,26.1,16.9,326,439,287,301,-9999,-9999,-9999,-9999,43,3,0,2,241,1025,1937,1093,1072,324,4,296,0,141,748,199,11,74,92,74,3,0,0,0,141,379,542,291,42,6,255,37,56,57,61,56,20.99,14.28,-20.53,-2.97,16.3,26.9,5,21.8,1352,546,19.4,49.2,48,4296,1696,1089,251,100,303,203,3,-22,42.2,-9999,1353,340,58,11.77,2702,4.58645330830932
"8",116,"NC",35.7,-82.8,549,"MI",42,60,17,6,"NC",35.7,-82.8,549,10,20.3,29,20.8,-2.9,5.2,15.2,5.9,3.5,12.7,22.1,13.3,227,261,296,171,-9999,-9999,-9999,-9999,82,8,0,6,132,743,1572,790,1299,540,23,504,0,52,388,77,8,60,92,60,6,0,0,0,117,349,486,251,35,118,190,89,56,54,60,55,15.08,0.04,-11.66,-9.7,12.9,22.8,3.1,19.7,955,425,24,53.7,96,3237,2366,518,220,116,287,172,7,-25.2,37.6,-9999,1203,432,56,-6.24,1835,4.83965427053664
"9",116,"NC",35.7,-82.8,549,"OH",28,35,60,8,"NC",35.7,-82.8,549,10,20.3,29,20.8,-2.9,5.2,15.2,5.9,3.5,12.7,22.1,13.3,227,261,296,171,-9999,-9999,-9999,-9999,82,8,0,6,132,743,1572,790,1299,540,23,504,0,52,388,77,8,60,92,60,6,0,0,0,117,349,486,251,35,118,190,89,56,54,60,55,15.08,0.04,-11.66,-9.7,12.9,22.8,3.1,19.7,955,425,24,53.7,96,3237,2366,518,220,116,287,172,7,-25.2,37.6,-9999,1203,432,56,-6.24,1835,4.83965427053664
"10",117,"KY",37.6,-84.9,274,"MI",95,191,11,5,"KY",37.6,-84.9,274,7.8,19.5,30,20.9,-3.2,6.6,17.2,7.5,2.3,13,23.6,14.2,293,327,319,224,-9999,-9999,-9999,-9999,113,9,0,6,98,776,1708,867,1409,528,12,460,0,70,522,114,7,62,92,63,16,0,0,0,94,320,480,237,28,46,161,63,61,60,63,59,24.13,9.72,-9.27,-3.52,13.3,24.3,1.5,22.8,1163,498,20,48.9,128,3448,2409,706,224,111,293,182,16,-24.9,39.6,-9999,1131,298,61,21.06,2076,5.20031759346863
"11",117,"KY",37.6,-84.9,274,"OH",66,14,59,6,"KY",37.6,-84.9,274,7.8,19.5,30,20.9,-3.2,6.6,17.2,7.5,2.3,13,23.6,14.2,293,327,319,224,-9999,-9999,-9999,-9999,113,9,0,6,98,776,1708,867,1409,528,12,460,0,70,522,114,7,62,92,63,16,0,0,0,94,320,480,237,28,46,161,63,61,60,63,59,24.13,9.72,-9.27,-3.52,13.3,24.3,1.5,22.8,1163,498,20,48.9,128,3448,2409,706,224,111,293,182,16,-24.9,39.6,-9999,1131,298,61,21.06,2076,5.20031759346863
"12",118,"TN",35.3,-84.5,337,"MI",NA,146,42,5,"TN",35.3,-84.5,337,10.4,21.4,30.5,22,-1.8,6.8,17.1,7.6,4.3,14.1,23.8,14.8,407,363,336,284,-9999,-9999,-9999,-9999,68,6,0,4,161,857,1727,915,1233,445,11,416,0,83,541,127,9,64,92,63,9,0,0,0,120,360,502,262,35,61,166,34,59,56,62,57,32.54,9.04,-9.75,-0.01,14.2,24.5,3.5,21,1390,533,17.4,46,78,3660,2105,751,229,110,293,183,9,-23.5,39.4,-9999,1243,296,58,31.82,2185,4.76628259935027
"13",118,"TN",35.3,-84.5,337,"OH",46,260,82,6,"TN",35.3,-84.5,337,10.4,21.4,30.5,22,-1.8,6.8,17.1,7.6,4.3,14.1,23.8,14.8,407,363,336,284,-9999,-9999,-9999,-9999,68,6,0,4,161,857,1727,915,1233,445,11,416,0,83,541,127,9,64,92,63,9,0,0,0,120,360,502,262,35,61,166,34,59,56,62,57,32.54,9.04,-9.75,-0.01,14.2,24.5,3.5,21,1390,533,17.4,46,78,3660,2105,751,229,110,293,183,9,-23.5,39.4,-9999,1243,296,58,31.82,2185,4.76628259935027
"14",119,"VA",38,-78.5,165,"MI",89,110,79,4,"VA",38,-78.5,165,8.7,19.8,29.6,20.7,-2.8,6.5,17.3,8,2.9,13.1,23.5,14.4,212,260,330,254,-9999,-9999,-9999,-9999,96,9,0,4,113,778,1696,873,1354,520,13,436,0,68,510,103,8,62,92,67,8,0,0,0,98,322,466,226,28,79,136,6,60,59,65,61,15.24,2.88,-5.98,0.86,13.5,24.4,2.4,22,1057,528,22.2,46.2,109,3459,2323,682,229,110,295,184,8,-24.6,38.8,-9999,1111,249,61,13,2056,5.27897432085598
"15",119,"VA",38,-78.5,165,"OH",61,279,89,6,"VA",38,-78.5,165,8.7,19.8,29.6,20.7,-2.8,6.5,17.3,8,2.9,13.1,23.5,14.4,212,260,330,254,-9999,-9999,-9999,-9999,96,9,0,4,113,778,1696,873,1354,520,13,436,0,68,510,103,8,62,92,67,8,0,0,0,98,322,466,226,28,79,136,6,60,59,65,61,15.24,2.88,-5.98,0.86,13.5,24.4,2.4,22,1057,528,22.2,46.2,109,3459,2323,682,229,110,295,184,8,-24.6,38.8,-9999,1111,249,61,13,2056,5.27897432085598
"16",120,"MO",37.3,-91,366,"IN",22,37,15,NA,"MO",37.3,-91,366,8,20.1,30.6,21.1,-4.5,6.1,17,6.8,1.7,13.1,23.8,14,214,347,263,261,-9999,-9999,-9999,-9999,132,10,0,6,86,782,1731,847,1461,525,12,472,0,71,545,104,5,61,92,62,14,0,0,0,99,333,497,242,29,14,235,27,56,57,61,57,16.25,10.27,-17.7,-0.53,13.2,24.8,0.5,24.3,1086,496,21.3,50.1,148,3446,2468,720,220,113,291,178,15,-27,40.7,-9999,1172,305,58,8.29,2086,5.14197170828922
"17",120,"MO",37.3,-91,366,"MI",91,130,14,5,"MO",37.3,-91,366,8,20.1,30.6,21.1,-4.5,6.1,17,6.8,1.7,13.1,23.8,14,214,347,263,261,-9999,-9999,-9999,-9999,132,10,0,6,86,782,1731,847,1461,525,12,472,0,71,545,104,5,61,92,62,14,0,0,0,99,333,497,242,29,14,235,27,56,57,61,57,16.25,10.27,-17.7,-0.53,13.2,24.8,0.5,24.3,1086,496,21.3,50.1,148,3446,2468,720,220,113,291,178,15,-27,40.7,-9999,1172,305,58,8.29,2086,5.14197170828922
"18",120,"MO",37.3,-91,366,"OH",79,233,26,6,"MO",37.3,-91,366,8,20.1,30.6,21.1,-4.5,6.1,17,6.8,1.7,13.1,23.8,14,214,347,263,261,-9999,-9999,-9999,-9999,132,10,0,6,86,782,1731,847,1461,525,12,472,0,71,545,104,5,61,92,62,14,0,0,0,99,333,497,242,29,14,235,27,56,57,61,57,16.25,10.27,-17.7,-0.53,13.2,24.8,0.5,24.3,1086,496,21.3,50.1,148,3446,2468,720,220,113,291,178,15,-27,40.7,-9999,1172,305,58,8.29,2086,5.14197170828922
"19",121,"NC",35,-84,1067,"OH",35,137,65,6,"NC",35,-84,1067,11.2,19.5,27.9,21,-2.7,5.1,14.3,5.8,4.2,12.3,21.1,13.4,442,403,375,304,-9999,-9999,-9999,-9999,69,9,0,5,152,705,1480,791,1239,567,35,491,0,38,319,69,8,60,92,60,9,0,0,0,128,339,473,257,38,42,97,16,54,56,61,54,34.57,14.53,-3.29,1.53,12.8,21.6,3.8,17.8,1524,584,14.9,37,82,3129,2331,426,221,115,287,172,10,-25.1,36.2,-9999,1197,193,56,47.34,1709,4.71180260466836
"20",122,"VA",37.9,-76.8,6,"MI",97,171,70,5,"VA",37.9,-76.8,6,8.9,19.8,30.2,21.4,-1.7,7.3,18.7,9.7,3.6,13.5,24.5,15.5,223,250,315,239,-9999,-9999,-9999,-9999,80,8,0,3,136,815,1788,973,1290,494,9,367,0,82,602,143,10,64,92,81,6,0,0,0,97,317,462,225,29,85,145,20,64,62,67,64,15.95,2.52,-6.97,-0.75,14.3,25.4,3,22.4,1027,499,23.7,51,91,3711,2161,827,247,104,302,198,6,-22.8,39.5,-9999,1101,279,64,10.76,2265,5.2592164051824
"21",122,"VA",37.9,-76.8,6,"WI",0,NA,100,NA,"VA",37.9,-76.8,6,8.9,19.8,30.2,21.4,-1.7,7.3,18.7,9.7,3.6,13.5,24.5,15.5,223,250,315,239,-9999,-9999,-9999,-9999,80,8,0,3,136,815,1788,973,1290,494,9,367,0,82,602,143,10,64,92,81,6,0,0,0,97,317,462,225,29,85,145,20,64,62,67,64,15.95,2.52,-6.97,-0.75,14.3,25.4,3,22.4,1027,499,23.7,51,91,3711,2161,827,247,104,302,198,6,-22.8,39.5,-9999,1101,279,64,10.76,2265,5.2592164051824
"22",122,"VA",37.9,-76.8,6,"IN",49,252,15,NA,"VA",37.9,-76.8,6,8.9,19.8,30.2,21.4,-1.7,7.3,18.7,9.7,3.6,13.5,24.5,15.5,223,250,315,239,-9999,-9999,-9999,-9999,80,8,0,3,136,815,1788,973,1290,494,9,367,0,82,602,143,10,64,92,81,6,0,0,0,97,317,462,225,29,85,145,20,64,62,67,64,15.95,2.52,-6.97,-0.75,14.3,25.4,3,22.4,1027,499,23.7,51,91,3711,2161,827,247,104,302,198,6,-22.8,39.5,-9999,1101,279,64,10.76,2265,5.2592164051824
"23",122,"VA",37.9,-76.8,6,"MN",30,119,81,3,"VA",37.9,-76.8,6,8.9,19.8,30.2,21.4,-1.7,7.3,18.7,9.7,3.6,13.5,24.5,15.5,223,250,315,239,-9999,-9999,-9999,-9999,80,8,0,3,136,815,1788,973,1290,494,9,367,0,82,602,143,10,64,92,81,6,0,0,0,97,317,462,225,29,85,145,20,64,62,67,64,15.95,2.52,-6.97,-0.75,14.3,25.4,3,22.4,1027,499,23.7,51,91,3711,2161,827,247,104,302,198,6,-22.8,39.5,-9999,1101,279,64,10.76,2265,5.2592164051824
"24",122,"VA",37.9,-76.8,6,"OH",58,468,89,6,"VA",37.9,-76.8,6,8.9,19.8,30.2,21.4,-1.7,7.3,18.7,9.7,3.6,13.5,24.5,15.5,223,250,315,239,-9999,-9999,-9999,-9999,80,8,0,3,136,815,1788,973,1290,494,9,367,0,82,602,143,10,64,92,81,6,0,0,0,97,317,462,225,29,85,145,20,64,62,67,64,15.95,2.52,-6.97,-0.75,14.3,25.4,3,22.4,1027,499,23.7,51,91,3711,2161,827,247,104,302,198,6,-22.8,39.5,-9999,1101,279,64,10.76,2265,5.2592164051824
"25",123,"TN",36.1,-82.7,610,"OH",43,109,37,6,"TN",36.1,-82.7,610,9.4,19.7,28.9,20.7,-2.8,5.4,15.5,6.2,3.3,12.6,22.2,13.5,282,300,353,218,-9999,-9999,-9999,-9999,87,9,0,6,125,729,1580,800,1318,555,22,499,0,51,396,82,8,61,92,61,9,0,0,0,111,338,480,247,33,72,128,57,58,56,61,56,21.14,5.08,-5.7,-4.81,12.9,22.8,2.9,20,1153,527,19.8,43.4,102,3234,2394,529,222,114,289,175,9,-24.9,37.6,-9999,1175,290,58,15.72,1846,4.91388397706512
"26",123,"TN",36.1,-82.7,610,"MI",61,58,18,5,"TN",36.1,-82.7,610,9.4,19.7,28.9,20.7,-2.8,5.4,15.5,6.2,3.3,12.6,22.2,13.5,282,300,353,218,-9999,-9999,-9999,-9999,87,9,0,6,125,729,1580,800,1318,555,22,499,0,51,396,82,8,61,92,61,9,0,0,0,111,338,480,247,33,72,128,57,58,56,61,56,21.14,5.08,-5.7,-4.81,12.9,22.8,2.9,20,1153,527,19.8,43.4,102,3234,2394,529,222,114,289,175,9,-24.9,37.6,-9999,1175,290,58,15.72,1846,4.91388397706512
"27",124,"NC",35.1,-84.1,507,"IN",7,3,17,NA,"NC",35.1,-84.1,507,11,21,29.7,21.8,-2.1,5.9,16,6.8,4.4,13.5,22.8,14.3,388,354,368,256,-9999,-9999,-9999,-9999,65,7,0,4,165,801,1639,873,1218,485,17,437,0,64,455,104,9,62,92,62,8,0,0,0,126,360,497,263,37,63,129,55,56,54,61,55,29.81,8.1,-5.92,-3.07,13.8,23.5,3.8,19.7,1367,550,17.4,42.7,76,3479,2158,622,225,113,291,178,8,-24.1,38.4,-9999,1246,284,56,28.93,2014,4.72991106864518
"28",124,"NC",35.1,-84.1,507,"MI",75,64,36,5,"NC",35.1,-84.1,507,11,21,29.7,21.8,-2.1,5.9,16,6.8,4.4,13.5,22.8,14.3,388,354,368,256,-9999,-9999,-9999,-9999,65,7,0,4,165,801,1639,873,1218,485,17,437,0,64,455,104,9,62,92,62,8,0,0,0,126,360,497,263,37,63,129,55,56,54,61,55,29.81,8.1,-5.92,-3.07,13.8,23.5,3.8,19.7,1367,550,17.4,42.7,76,3479,2158,622,225,113,291,178,8,-24.1,38.4,-9999,1246,284,56,28.93,2014,4.72991106864518
"29",124,"NC",35.1,-84.1,507,"OH",57,132,63,6,"NC",35.1,-84.1,507,11,21,29.7,21.8,-2.1,5.9,16,6.8,4.4,13.5,22.8,14.3,388,354,368,256,-9999,-9999,-9999,-9999,65,7,0,4,165,801,1639,873,1218,485,17,437,0,64,455,104,9,62,92,62,8,0,0,0,126,360,497,263,37,63,129,55,56,54,61,55,29.81,8.1,-5.92,-3.07,13.8,23.5,3.8,19.7,1367,550,17.4,42.7,76,3479,2158,622,225,113,291,178,8,-24.1,38.4,-9999,1246,284,56,28.93,2014,4.72991106864518
"30",124,"NC",35.1,-84.1,507,"WI",0,NA,100,NA,"NC",35.1,-84.1,507,11,21,29.7,21.8,-2.1,5.9,16,6.8,4.4,13.5,22.8,14.3,388,354,368,256,-9999,-9999,-9999,-9999,65,7,0,4,165,801,1639,873,1218,485,17,437,0,64,455,104,9,62,92,62,8,0,0,0,126,360,497,263,37,63,129,55,56,54,61,55,29.81,8.1,-5.92,-3.07,13.8,23.5,3.8,19.7,1367,550,17.4,42.7,76,3479,2158,622,225,113,291,178,8,-24.1,38.4,-9999,1246,284,56,28.93,2014,4.72991106864518
"31",127,"DE",39.7,-78.5,213,"OH",86,439,36,6,"DE",39.7,-78.5,213,5.6,18.2,29.6,19.6,-5.1,4,14.8,5.3,0.2,11.1,22.2,12.4,181,252,256,202,-9999,-9999,-9999,-9999,186,18,0,9,57,625,1584,720,1595,681,23,571,0,41,400,64,5,54,92,59,24,1,0,0,53,307,489,218,22,82,233,47,61,56,58,57,14.97,3.72,-16.88,-3.73,11.5,23.2,-0.5,23.7,891,413,24.1,56.2,212,2986,2869,504,210,122,284,162,25,-27.4,39.3,-9999,1068,384,58,-1.92,1730,5.62493106986501
"32",128,"OH",39.4,-82.5,274,"WI",13,37,94,NA,"OH",39.4,-82.5,274,4.9,17.7,29.1,19.3,-6.2,3.6,14.7,5,-0.6,10.7,21.9,12.1,207,295,274,199,-9999,-9999,-9999,-9999,227,21,0,11,47,600,1551,702,1674,713,26,595,0,37,370,61,4,52,92,57,41,1,0,1,0,303,480,219,0,45,206,55,59,56,59,56,18.13,8.74,-13.7,-3.91,11,22.7,-1.5,24.2,975,450,21.6,50.4,259,2899,3008,468,205,122,282,160,43,-28.8,39,-9999,1002,306,57,9.26,1671,5.56244511736517
"33",128,"OH",39.4,-82.5,274,"MI",82,84,6,5,"OH",39.4,-82.5,274,4.9,17.7,29.1,19.3,-6.2,3.6,14.7,5,-0.6,10.7,21.9,12.1,207,295,274,199,-9999,-9999,-9999,-9999,227,21,0,11,47,600,1551,702,1674,713,26,595,0,37,370,61,4,52,92,57,41,1,0,1,0,303,480,219,0,45,206,55,59,56,59,56,18.13,8.74,-13.7,-3.91,11,22.7,-1.5,24.2,975,450,21.6,50.4,259,2899,3008,468,205,122,282,160,43,-28.8,39,-9999,1002,306,57,9.26,1671,5.56244511736517
"34",128,"OH",39.4,-82.5,274,"OH",69,191,34,6,"OH",39.4,-82.5,274,4.9,17.7,29.1,19.3,-6.2,3.6,14.7,5,-0.6,10.7,21.9,12.1,207,295,274,199,-9999,-9999,-9999,-9999,227,21,0,11,47,600,1551,702,1674,713,26,595,0,37,370,61,4,52,92,57,41,1,0,1,0,303,480,219,0,45,206,55,59,56,59,56,18.13,8.74,-13.7,-3.91,11,22.7,-1.5,24.2,975,450,21.6,50.4,259,2899,3008,468,205,122,282,160,43,-28.8,39,-9999,1002,306,57,9.26,1671,5.56244511736517
"35",128,"OH",39.4,-82.5,274,"IN",3,230,22,NA,"OH",39.4,-82.5,274,4.9,17.7,29.1,19.3,-6.2,3.6,14.7,5,-0.6,10.7,21.9,12.1,207,295,274,199,-9999,-9999,-9999,-9999,227,21,0,11,47,600,1551,702,1674,713,26,595,0,37,370,61,4,52,92,57,41,1,0,1,0,303,480,219,0,45,206,55,59,56,59,56,18.13,8.74,-13.7,-3.91,11,22.7,-1.5,24.2,975,450,21.6,50.4,259,2899,3008,468,205,122,282,160,43,-28.8,39,-9999,1002,306,57,9.26,1671,5.56244511736517
"36",128,"OH",39.4,-82.5,274,"MN",68,80,27,3,"OH",39.4,-82.5,274,4.9,17.7,29.1,19.3,-6.2,3.6,14.7,5,-0.6,10.7,21.9,12.1,207,295,274,199,-9999,-9999,-9999,-9999,227,21,0,11,47,600,1551,702,1674,713,26,595,0,37,370,61,4,52,92,57,41,1,0,1,0,303,480,219,0,45,206,55,59,56,59,56,18.13,8.74,-13.7,-3.91,11,22.7,-1.5,24.2,975,450,21.6,50.4,259,2899,3008,468,205,122,282,160,43,-28.8,39,-9999,1002,306,57,9.26,1671,5.56244511736517
