"","seedSource","State.Province","Lat.Deg","Long.Deg","Elev.m","test","Perc_flowers","Avg_Bud_per_Tree","Perc_Wntr_Inj","Avg_Time_Flush","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"37",132,"GA",34.9,-84.6,838,"OH",11,175,11,3,"GA",34.9,-84.6,838,7.4,18.3,27.5,19.3,-2.5,6.3,16.4,7.9,2.5,12.3,22,13.6,580,485,417,372,-9999,-9999,-9999,-9999,109,11,0,7,106,717,1560,819,1395,579,25,490,0,53,381,91,8,62,92,63,28,0,0,0,100,312,437,227,30,19,27,0,65,62,67,64,52.69,26.61,5.73,14.15,12.6,22.6,1.7,21,1854,661,12.2,34.2,126,3202,2489,526,225,113,296,183,29,-24.5,36.7,-9999,1076,76,65,99.18,1843,4.69374519746641
"38",133,"IN",39,-86.3,229,"OH",58,148,60,5,"IN",39,-86.3,229,5.6,18.4,30,20.1,-4.8,5.6,16.7,6.8,0.4,12,23.3,13.4,228,313,294,218,-9999,-9999,-9999,-9999,180,14,0,8,61,702,1686,808,1581,608,13,514,0,58,500,96,5,61,92,62,29,0,0,0,55,304,480,223,23,32,186,54,62,60,62,59,19.53,10.08,-12.2,-2.65,12.3,24.2,-0.7,24.9,1053,475,21.2,51,203,3256,2717,654,219,114,290,176,30,-27.1,40.1,-9999,1062,295,61,14.76,1961,5.48011088039781
"39",133,"IN",39,-86.3,229,"MI",53,70,56,5,"IN",39,-86.3,229,5.6,18.4,30,20.1,-4.8,5.6,16.7,6.8,0.4,12,23.3,13.4,228,313,294,218,-9999,-9999,-9999,-9999,180,14,0,8,61,702,1686,808,1581,608,13,514,0,58,500,96,5,61,92,62,29,0,0,0,55,304,480,223,23,32,186,54,62,60,62,59,19.53,10.08,-12.2,-2.65,12.3,24.2,-0.7,24.9,1053,475,21.2,51,203,3256,2717,654,219,114,290,176,30,-27.1,40.1,-9999,1062,295,61,14.76,1961,5.48011088039781
"40",134,"OH",40.6,-82.2,305,"WI",20,15,100,NA,"OH",40.6,-82.2,305,2.8,15.5,27.9,17.8,-6.9,2.7,14.3,5,-2.1,9.1,21.1,11.4,186,275,273,193,-9999,-9999,-9999,-9999,307,33,0,14,32,498,1481,648,1801,838,36,647,0,24,319,50,3,44,92,58,64,3,0,1,0,270,453,197,0,28,179,40,63,59,60,60,17.11,10.22,-10.57,-1.68,9.9,22,-3,24.9,926,448,21.5,49,354,2660,3321,393,197,125,282,157,67,-29.5,38.3,-9999,920,247,60,15.08,1506,5.81632716302832
"41",134,"OH",40.6,-82.2,305,"IN",11,31,14,NA,"OH",40.6,-82.2,305,2.8,15.5,27.9,17.8,-6.9,2.7,14.3,5,-2.1,9.1,21.1,11.4,186,275,273,193,-9999,-9999,-9999,-9999,307,33,0,14,32,498,1481,648,1801,838,36,647,0,24,319,50,3,44,92,58,64,3,0,1,0,270,453,197,0,28,179,40,63,59,60,60,17.11,10.22,-10.57,-1.68,9.9,22,-3,24.9,926,448,21.5,49,354,2660,3321,393,197,125,282,157,67,-29.5,38.3,-9999,920,247,60,15.08,1506,5.81632716302832
"42",134,"OH",40.6,-82.2,305,"OH",74,217,21,4,"OH",40.6,-82.2,305,2.8,15.5,27.9,17.8,-6.9,2.7,14.3,5,-2.1,9.1,21.1,11.4,186,275,273,193,-9999,-9999,-9999,-9999,307,33,0,14,32,498,1481,648,1801,838,36,647,0,24,319,50,3,44,92,58,64,3,0,1,0,270,453,197,0,28,179,40,63,59,60,60,17.11,10.22,-10.57,-1.68,9.9,22,-3,24.9,926,448,21.5,49,354,2660,3321,393,197,125,282,157,67,-29.5,38.3,-9999,920,247,60,15.08,1506,5.81632716302832
"43",134,"OH",40.6,-82.2,305,"MI",89,121,5,6,"OH",40.6,-82.2,305,2.8,15.5,27.9,17.8,-6.9,2.7,14.3,5,-2.1,9.1,21.1,11.4,186,275,273,193,-9999,-9999,-9999,-9999,307,33,0,14,32,498,1481,648,1801,838,36,647,0,24,319,50,3,44,92,58,64,3,0,1,0,270,453,197,0,28,179,40,63,59,60,60,17.11,10.22,-10.57,-1.68,9.9,22,-3,24.9,926,448,21.5,49,354,2660,3321,393,197,125,282,157,67,-29.5,38.3,-9999,920,247,60,15.08,1506,5.81632716302832
"44",134,"OH",40.6,-82.2,305,"MN",75,104,17,2,"OH",40.6,-82.2,305,2.8,15.5,27.9,17.8,-6.9,2.7,14.3,5,-2.1,9.1,21.1,11.4,186,275,273,193,-9999,-9999,-9999,-9999,307,33,0,14,32,498,1481,648,1801,838,36,647,0,24,319,50,3,44,92,58,64,3,0,1,0,270,453,197,0,28,179,40,63,59,60,60,17.11,10.22,-10.57,-1.68,9.9,22,-3,24.9,926,448,21.5,49,354,2660,3321,393,197,125,282,157,67,-29.5,38.3,-9999,920,247,60,15.08,1506,5.81632716302832
"45",135,"WV",39.1,-79.7,671,"OH",57,135,15,6,"WV",39.1,-79.7,671,4.8,16.4,26.8,18,-6.7,2.1,12.8,3.7,-0.9,9.3,19.8,10.8,277,335,398,257,-9999,-9999,-9999,-9999,240,28,0,14,42,496,1360,598,1698,823,62,682,0,19,232,35,3,40,92,48,61,2,0,1,0,292,449,209,0,19,51,3,57,55,59,56,25.2,13.77,2.38,3.54,9.7,20.6,-1.4,22,1268,616,15.6,33.4,283,2495,3265,286,183,130,276,146,65,-29.6,36.3,-9999,950,73,57,44.88,1339,5.50059097473008
"46",135,"WV",39.1,-79.7,671,"MI",91,60,4,5,"WV",39.1,-79.7,671,4.8,16.4,26.8,18,-6.7,2.1,12.8,3.7,-0.9,9.3,19.8,10.8,277,335,398,257,-9999,-9999,-9999,-9999,240,28,0,14,42,496,1360,598,1698,823,62,682,0,19,232,35,3,40,92,48,61,2,0,1,0,292,449,209,0,19,51,3,57,55,59,56,25.2,13.77,2.38,3.54,9.7,20.6,-1.4,22,1268,616,15.6,33.4,283,2495,3265,286,183,130,276,146,65,-29.6,36.3,-9999,950,73,57,44.88,1339,5.50059097473008
"47",136,"TN",36,-85,559,"MI",95,115,53,5,"TN",36,-85,559,8.3,19.2,28.5,20.1,-2.6,6.5,16.2,7,2.9,12.8,22.3,13.6,394,354,330,271,-9999,-9999,-9999,-9999,98,9,0,6,112,753,1593,810,1361,538,21,495,0,58,408,88,8,62,92,63,16,0,0,0,103,321,461,236,30,48,131,34,62,61,64,60,33.5,12.46,-5.48,2.38,12.9,23,2.2,20.9,1349,517,17,44.5,113,3268,2415,554,225,113,291,178,16,-24.5,37.7,-9999,1121,243,62,42.85,1888,4.89524477896982
"48",136,"TN",36,-85,559,"OH",51,195,61,7,"TN",36,-85,559,8.3,19.2,28.5,20.1,-2.6,6.5,16.2,7,2.9,12.8,22.3,13.6,394,354,330,271,-9999,-9999,-9999,-9999,98,9,0,6,112,753,1593,810,1361,538,21,495,0,58,408,88,8,62,92,63,16,0,0,0,103,321,461,236,30,48,131,34,62,61,64,60,33.5,12.46,-5.48,2.38,12.9,23,2.2,20.9,1349,517,17,44.5,113,3268,2415,554,225,113,291,178,16,-24.5,37.7,-9999,1121,243,62,42.85,1888,4.89524477896982
"49",137,"MI",42.7,-84.5,265,"OH",76,230,23,5,"MI",42.7,-84.5,265,0.2,13.6,27.3,16.1,-8.3,1.8,14.2,4.9,-4,7.7,20.7,10.5,127,213,237,189,-9999,-9999,-9999,-9999,442,57,0,21,19,423,1445,589,1975,966,43,714,0,18,294,38,2,39,92,58,74,8,0,2,0,240,431,169,0,41,194,21,65,61,62,64,12.3,7.08,-12.09,1.03,8.7,21.6,-5.2,26.8,766,386,24.4,55.9,519,2475,3698,350,191,127,281,155,83,-30.7,38.3,-9999,840,256,63,8.32,1395,6.28796415220316
"50",137,"MI",42.7,-84.5,265,"WI",5,16,100,NA,"MI",42.7,-84.5,265,0.2,13.6,27.3,16.1,-8.3,1.8,14.2,4.9,-4,7.7,20.7,10.5,127,213,237,189,-9999,-9999,-9999,-9999,442,57,0,21,19,423,1445,589,1975,966,43,714,0,18,294,38,2,39,92,58,74,8,0,2,0,240,431,169,0,41,194,21,65,61,62,64,12.3,7.08,-12.09,1.03,8.7,21.6,-5.2,26.8,766,386,24.4,55.9,519,2475,3698,350,191,127,281,155,83,-30.7,38.3,-9999,840,256,63,8.32,1395,6.28796415220316
"51",137,"MI",42.7,-84.5,265,"MI",81,101,6,6,"MI",42.7,-84.5,265,0.2,13.6,27.3,16.1,-8.3,1.8,14.2,4.9,-4,7.7,20.7,10.5,127,213,237,189,-9999,-9999,-9999,-9999,442,57,0,21,19,423,1445,589,1975,966,43,714,0,18,294,38,2,39,92,58,74,8,0,2,0,240,431,169,0,41,194,21,65,61,62,64,12.3,7.08,-12.09,1.03,8.7,21.6,-5.2,26.8,766,386,24.4,55.9,519,2475,3698,350,191,127,281,155,83,-30.7,38.3,-9999,840,256,63,8.32,1395,6.28796415220316
"52",137,"MI",42.7,-84.5,265,"IN",7,59,12,NA,"MI",42.7,-84.5,265,0.2,13.6,27.3,16.1,-8.3,1.8,14.2,4.9,-4,7.7,20.7,10.5,127,213,237,189,-9999,-9999,-9999,-9999,442,57,0,21,19,423,1445,589,1975,966,43,714,0,18,294,38,2,39,92,58,74,8,0,2,0,240,431,169,0,41,194,21,65,61,62,64,12.3,7.08,-12.09,1.03,8.7,21.6,-5.2,26.8,766,386,24.4,55.9,519,2475,3698,350,191,127,281,155,83,-30.7,38.3,-9999,840,256,63,8.32,1395,6.28796415220316
"53",138,"NJ",40.5,-74.5,290,"OH",77,259,47,5,"NJ",40.5,-74.5,290,3.9,16.1,28.7,19.1,-5.9,3.4,15.4,6.3,-1,9.7,22,12.7,239,277,323,258,-9999,-9999,-9999,-9999,245,26,0,8,43,534,1567,741,1702,783,26,551,0,29,391,67,4,49,92,62,53,2,0,0,0,276,459,202,0,42,137,13,63,59,61,61,21.71,9.47,-6.82,3.43,10.9,23.3,-1.9,25.2,1096,504,19,46.2,279,2886,3062,487,206,122,287,165,55,-28.1,38.9,-9999,938,192,61,27.78,1666,5.7947609224296
"54",139,"MN",44.9,-93.6,290,"IN",28,85,14,NA,"MN",44.9,-93.6,290,-3.7,12.3,27,14.1,-14.1,0.7,14.9,3.2,-8.9,6.5,21,8.6,62,191,292,155,-9999,-9999,-9999,-9999,826,108,0,59,6,406,1469,502,2415,1076,41,875,0,22,313,27,0,35,92,53,59,22,0,7,0,188,407,147,0,35,115,6,57,61,65,64,6.25,6.29,-5,0.24,6.8,22.1,-10.9,33,701,464,24,47.7,993,2383,4407,362,180,127,278,150,88,-37.1,39.7,-9999,742,156,62,7.78,1364,6.8253496853998
"55",139,"MN",44.9,-93.6,290,"MN",100,243,0,4,"MN",44.9,-93.6,290,-3.7,12.3,27,14.1,-14.1,0.7,14.9,3.2,-8.9,6.5,21,8.6,62,191,292,155,-9999,-9999,-9999,-9999,826,108,0,59,6,406,1469,502,2415,1076,41,875,0,22,313,27,0,35,92,53,59,22,0,7,0,188,407,147,0,35,115,6,57,61,65,64,6.25,6.29,-5,0.24,6.8,22.1,-10.9,33,701,464,24,47.7,993,2383,4407,362,180,127,278,150,88,-37.1,39.7,-9999,742,156,62,7.78,1364,6.8253496853998
"56",139,"MN",44.9,-93.6,290,"WI",29,34,76,NA,"MN",44.9,-93.6,290,-3.7,12.3,27,14.1,-14.1,0.7,14.9,3.2,-8.9,6.5,21,8.6,62,191,292,155,-9999,-9999,-9999,-9999,826,108,0,59,6,406,1469,502,2415,1076,41,875,0,22,313,27,0,35,92,53,59,22,0,7,0,188,407,147,0,35,115,6,57,61,65,64,6.25,6.29,-5,0.24,6.8,22.1,-10.9,33,701,464,24,47.7,993,2383,4407,362,180,127,278,150,88,-37.1,39.7,-9999,742,156,62,7.78,1364,6.8253496853998
"57",139,"MN",44.9,-93.6,290,"OH",89,396,9,7,"MN",44.9,-93.6,290,-3.7,12.3,27,14.1,-14.1,0.7,14.9,3.2,-8.9,6.5,21,8.6,62,191,292,155,-9999,-9999,-9999,-9999,826,108,0,59,6,406,1469,502,2415,1076,41,875,0,22,313,27,0,35,92,53,59,22,0,7,0,188,407,147,0,35,115,6,57,61,65,64,6.25,6.29,-5,0.24,6.8,22.1,-10.9,33,701,464,24,47.7,993,2383,4407,362,180,127,278,150,88,-37.1,39.7,-9999,742,156,62,7.78,1364,6.8253496853998
"58",139,"MN",44.9,-93.6,290,"MI",71,101,0,7,"MN",44.9,-93.6,290,-3.7,12.3,27,14.1,-14.1,0.7,14.9,3.2,-8.9,6.5,21,8.6,62,191,292,155,-9999,-9999,-9999,-9999,826,108,0,59,6,406,1469,502,2415,1076,41,875,0,22,313,27,0,35,92,53,59,22,0,7,0,188,407,147,0,35,115,6,57,61,65,64,6.25,6.29,-5,0.24,6.8,22.1,-10.9,33,701,464,24,47.7,993,2383,4407,362,180,127,278,150,88,-37.1,39.7,-9999,742,156,62,7.78,1364,6.8253496853998
"59",140,"WV",38.2,-80.4,1067,"OH",58,116,12,6,"WV",38.2,-80.4,1067,3.5,14.6,24.5,16.5,-7.5,1.6,12.2,3.7,-2,8.1,18.3,10.1,317,357,410,286,-9999,-9999,-9999,-9999,301,39,0,19,34,421,1227,543,1793,926,110,744,0,12,142,26,3,38,92,51,105,6,0,2,0,268,407,198,0,4,10,0,58,58,63,59,29.94,19.02,8.4,8.52,8.6,19,-2.7,21.8,1370,638,13.6,29.8,359,2225,3573,180,183,131,276,145,114,-30.7,34.4,-9999,873,14,60,65.88,1128,5.3186803840673
"60",141,"MI",42.4,-85.3,274,"WI",5,1,100,NA,"MI",42.4,-85.3,274,0.8,14.3,27.9,16.7,-7.7,2.2,14.6,5.2,-3.4,8.2,21.2,10.9,143,246,252,226,-9999,-9999,-9999,-9999,399,48,0,18,22,454,1492,618,1923,918,35,684,0,21,329,44,2,41,92,59,72,5,0,2,0,250,441,175,0,33,190,11,65,61,61,64,13.68,9.24,-12.05,3.81,9.2,22.2,-4.6,26.7,867,425,22.2,52.2,466,2586,3560,394,194,125,283,157,79,-30.1,38.7,-9999,866,234,63,14.68,1479,6.21828361734679
"61",141,"MI",42.4,-85.3,274,"MI",78,118,0,5,"MI",42.4,-85.3,274,0.8,14.3,27.9,16.7,-7.7,2.2,14.6,5.2,-3.4,8.2,21.2,10.9,143,246,252,226,-9999,-9999,-9999,-9999,399,48,0,18,22,454,1492,618,1923,918,35,684,0,21,329,44,2,41,92,59,72,5,0,2,0,250,441,175,0,33,190,11,65,61,61,64,13.68,9.24,-12.05,3.81,9.2,22.2,-4.6,26.7,867,425,22.2,52.2,466,2586,3560,394,194,125,283,157,79,-30.1,38.7,-9999,866,234,63,14.68,1479,6.21828361734679
"62",141,"MI",42.4,-85.3,274,"OH",73,224,10,4,"MI",42.4,-85.3,274,0.8,14.3,27.9,16.7,-7.7,2.2,14.6,5.2,-3.4,8.2,21.2,10.9,143,246,252,226,-9999,-9999,-9999,-9999,399,48,0,18,22,454,1492,618,1923,918,35,684,0,21,329,44,2,41,92,59,72,5,0,2,0,250,441,175,0,33,190,11,65,61,61,64,13.68,9.24,-12.05,3.81,9.2,22.2,-4.6,26.7,867,425,22.2,52.2,466,2586,3560,394,194,125,283,157,79,-30.1,38.7,-9999,866,234,63,14.68,1479,6.21828361734679
"63",141,"MI",42.4,-85.3,274,"IN",18,104,12,NA,"MI",42.4,-85.3,274,0.8,14.3,27.9,16.7,-7.7,2.2,14.6,5.2,-3.4,8.2,21.2,10.9,143,246,252,226,-9999,-9999,-9999,-9999,399,48,0,18,22,454,1492,618,1923,918,35,684,0,21,329,44,2,41,92,59,72,5,0,2,0,250,441,175,0,33,190,11,65,61,61,64,13.68,9.24,-12.05,3.81,9.2,22.2,-4.6,26.7,867,425,22.2,52.2,466,2586,3560,394,194,125,283,157,79,-30.1,38.7,-9999,866,234,63,14.68,1479,6.21828361734679
"64",142,"PA",40.7,-77.9,518,"OH",70,100,27,3,"PA",40.7,-77.9,518,1.7,14.3,26.7,16.3,-7.4,2.1,13.2,4.4,-2.9,8.2,19.9,10.3,190,272,277,227,-9999,-9999,-9999,-9999,359,44,0,18,27,442,1375,566,1874,920,59,725,0,18,243,31,3,40,92,55,84,6,0,2,0,256,437,183,0,26,160,21,64,60,61,62,18.01,11.51,-8.4,3.9,8.9,21,-3.6,24.6,966,450,19.6,46.7,422,2409,3579,293,189,129,279,149,92,-30.1,36.9,-9999,875,207,62,25.02,1313,5.8379703509554
"65",142,"PA",40.7,-77.9,518,"MI",92,55,15,3,"PA",40.7,-77.9,518,1.7,14.3,26.7,16.3,-7.4,2.1,13.2,4.4,-2.9,8.2,19.9,10.3,190,272,277,227,-9999,-9999,-9999,-9999,359,44,0,18,27,442,1375,566,1874,920,59,725,0,18,243,31,3,40,92,55,84,6,0,2,0,256,437,183,0,26,160,21,64,60,61,62,18.01,11.51,-8.4,3.9,8.9,21,-3.6,24.6,966,450,19.6,46.7,422,2409,3579,293,189,129,279,149,92,-30.1,36.9,-9999,875,207,62,25.02,1313,5.8379703509554
"66",142,"PA",40.7,-77.9,518,"WI",13,1,100,NA,"PA",40.7,-77.9,518,1.7,14.3,26.7,16.3,-7.4,2.1,13.2,4.4,-2.9,8.2,19.9,10.3,190,272,277,227,-9999,-9999,-9999,-9999,359,44,0,18,27,442,1375,566,1874,920,59,725,0,18,243,31,3,40,92,55,84,6,0,2,0,256,437,183,0,26,160,21,64,60,61,62,18.01,11.51,-8.4,3.9,8.9,21,-3.6,24.6,966,450,19.6,46.7,422,2409,3579,293,189,129,279,149,92,-30.1,36.9,-9999,875,207,62,25.02,1313,5.8379703509554
"67",143,"PA",40.7,-77.9,305,"MI",58,108,3,4,"PA",40.7,-77.9,305,2.3,15,27.3,16.9,-7,2.5,13.9,4.8,-2.4,8.7,20.6,10.9,189,271,271,226,-9999,-9999,-9999,-9999,326,38,0,16,30,474,1435,605,1828,875,45,683,0,22,286,39,3,42,92,57,72,4,0,1,0,263,443,187,0,30,172,24,64,60,61,62,17.67,10.77,-9.3,3.3,9.5,21.7,-3,24.7,957,443,20.3,48.9,380,2544,3432,347,194,127,281,154,77,-29.5,37.5,-9999,894,226,61,22.43,1417,5.8379703509554
"68",143,"PA",40.7,-77.9,305,"OH",65,142,11,4,"PA",40.7,-77.9,305,2.3,15,27.3,16.9,-7,2.5,13.9,4.8,-2.4,8.7,20.6,10.9,189,271,271,226,-9999,-9999,-9999,-9999,326,38,0,16,30,474,1435,605,1828,875,45,683,0,22,286,39,3,42,92,57,72,4,0,1,0,263,443,187,0,30,172,24,64,60,61,62,17.67,10.77,-9.3,3.3,9.5,21.7,-3,24.7,957,443,20.3,48.9,380,2544,3432,347,194,127,281,154,77,-29.5,37.5,-9999,894,226,61,22.43,1417,5.8379703509554
"69",144,"RI",41.7,-71.7,61,"OH",41,75,22,6,"RI",41.7,-71.7,61,3.3,14.4,26.5,17.2,-7.4,2,14.1,5,-2,8.2,20.3,11.1,276,282,255,286,-9999,-9999,-9999,-9999,306,38,0,12,30,425,1407,613,1797,921,55,660,0,16,269,37,3,38,92,57,91,5,0,1,0,252,420,181,0,32,165,6,59,60,63,62,26.08,13.49,-7.52,9.86,9.4,21.6,-3.1,24.7,1100,429,17.6,50.3,356,2475,3433,322,189,129,281,152,97,-30.2,37,-9999,853,203,61,41.92,1359,6.05876942159851
"70",144,"RI",41.7,-71.7,61,"MI",50,70,5,3,"RI",41.7,-71.7,61,3.3,14.4,26.5,17.2,-7.4,2,14.1,5,-2,8.2,20.3,11.1,276,282,255,286,-9999,-9999,-9999,-9999,306,38,0,12,30,425,1407,613,1797,921,55,660,0,16,269,37,3,38,92,57,91,5,0,1,0,252,420,181,0,32,165,6,59,60,63,62,26.08,13.49,-7.52,9.86,9.4,21.6,-3.1,24.7,1100,429,17.6,50.3,356,2475,3433,322,189,129,281,152,97,-30.2,37,-9999,853,203,61,41.92,1359,6.05876942159851
"71",145,"WI",45.6,-89.8,488,"MN",95,155,9,3,"WI",45.6,-89.8,488,-4.2,10.9,24.7,12.4,-15.9,-2.6,11.4,1,-10.1,4.1,18.1,6.7,76,193,317,209,-9999,-9999,-9999,-9999,919,167,0,85,4,273,1202,375,2519,1285,125,1034,0,10,131,11,0,28,92,35,73,41,0,21,0,181,394,121,0,28,78,0,52,54,60,62,7.55,8.02,-0.54,7.49,4.7,19.2,-11.6,30.8,794,512,18.5,37.5,1170,1854,4963,152,155,142,267,125,136,-38.8,37,-9999,696,106,57,22.52,950,7.00700341594834
"72",145,"WI",45.6,-89.8,488,"WI",52,60,71,NA,"WI",45.6,-89.8,488,-4.2,10.9,24.7,12.4,-15.9,-2.6,11.4,1,-10.1,4.1,18.1,6.7,76,193,317,209,-9999,-9999,-9999,-9999,919,167,0,85,4,273,1202,375,2519,1285,125,1034,0,10,131,11,0,28,92,35,73,41,0,21,0,181,394,121,0,28,78,0,52,54,60,62,7.55,8.02,-0.54,7.49,4.7,19.2,-11.6,30.8,794,512,18.5,37.5,1170,1854,4963,152,155,142,267,125,136,-38.8,37,-9999,696,106,57,22.52,950,7.00700341594834
"73",145,"WI",45.6,-89.8,488,"IN",14,9,14,NA,"WI",45.6,-89.8,488,-4.2,10.9,24.7,12.4,-15.9,-2.6,11.4,1,-10.1,4.1,18.1,6.7,76,193,317,209,-9999,-9999,-9999,-9999,919,167,0,85,4,273,1202,375,2519,1285,125,1034,0,10,131,11,0,28,92,35,73,41,0,21,0,181,394,121,0,28,78,0,52,54,60,62,7.55,8.02,-0.54,7.49,4.7,19.2,-11.6,30.8,794,512,18.5,37.5,1170,1854,4963,152,155,142,267,125,136,-38.8,37,-9999,696,106,57,22.52,950,7.00700341594834
"74",145,"WI",45.6,-89.8,488,"MI",93,113,6,6,"WI",45.6,-89.8,488,-4.2,10.9,24.7,12.4,-15.9,-2.6,11.4,1,-10.1,4.1,18.1,6.7,76,193,317,209,-9999,-9999,-9999,-9999,919,167,0,85,4,273,1202,375,2519,1285,125,1034,0,10,131,11,0,28,92,35,73,41,0,21,0,181,394,121,0,28,78,0,52,54,60,62,7.55,8.02,-0.54,7.49,4.7,19.2,-11.6,30.8,794,512,18.5,37.5,1170,1854,4963,152,155,142,267,125,136,-38.8,37,-9999,696,106,57,22.52,950,7.00700341594834
